,sentiment,text
2250,0,I think I should not use twitter as I offend people unintentionally 
2300,0,"completing reports and meetings this morning.  Interviewing people this afternoon, busy bee today blurrgghh "
2350,0,Just remembered that I've forgotten my best friends birthday 
2400,0,"Stephen just left,  i miss him sooo much...."
2450,0,"I don't want to study, i want to go shopping instead!! "
2500,0,"...people who have had this, and she says they have all been the same. It's vicious. "
2550,0,"...well I was going to RPM. Vespa needs oil, I ain't going anywhere "
2600,0,; i miss family guyyy. 
2650,0,My car arrived!! ....maybe i'll get it on thursday....damn paperwork 
2700,0,im just a little bit bored down here in warrnambool  only so many animal docos you can handle
2750,0,Still a bit sick  But working on 2 articles today
2800,0,"@ThomasGudgeon Well yes, Shame that you can only get the plastic one for the first generation. "
2850,0,@antzpantz well I obviosuly missed evcery single one 
2900,0,is sad coz alison's leaving england to france tonight 
2950,0,isnt very happy with twitter at the moment.. wont let me upload my picture  wishing dougie or tom would reply to me..
3000,0,@islandiva147 I sent u a tweet yesterday but I don't know why it didn't work  I guess you're sleeping right now I am working soon noon !!!
3050,0,Off to bed ... damn end of daylight savings - means my son will be awake at 5.30am 
3100,0,"No, that's not him in the picture. I don't have any pics yet "
3150,0,@moony394 it must be because i slash their characters  sighhh gonna go sleep and dream happy things about kutner
3200,0,"@Claire_S Will you be videoing or streaming or podcasting, Tweeting or anything else? Can't make it unfortunately. "
3250,0,"@hairpins haha well what makes you think you don't use big words too? SADISTIC! :p what did i say any way? and no i don't, sorry babe "
3300,0,@theresaxo I still can't believe you have to move. I will be over after work to help paint. aww RIP your walllllll 
3350,0,hi twiitters  i ammm sooooo tired right nowwww . FALLING ASLEEP ON MSN ! i am thinking a less lazy day today ;P xx
3400,0,@bradiewebbstack sway sway tour in julyyyyy! exitedd muchh  follow me pleaseeee? i need more followerss 
3450,0,i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful 
3500,0,"going, going, aaand gone. poor moosie fell asleep in class   http://twitpic.com/2y82y"
3550,0,@nikrosser I don't think there is any kind of good stroke. I'll wait to hear from you. I love that little cat.  L xxx
3600,0,I sooo cannot afford to get an iPhone 
3650,0,tired cant sleep baby feeding at 3:30 
3700,0,just had a tonne of sad news today 
3750,0,"@SamShepherd Darn, I don't seem to be very good at this "
3800,0,That overnight screwed up my sleep. 
3850,0,@adamcurry can I get download version of the Dvorak Interlude... since streaming is banned at work... 
3900,0,ARGH why did the linux people have to call their task scheduler &quot;at&quot;? Makes it impossible to search for help with 
3950,0,More boring job hunting.. 
4000,0,"@edibow haha, I have snot power too......1 week and counting! "
4050,0,Seriously beginning to hate this entire 'get up and write' routine. Wish the essays could all just be over with 
4100,0,@Sheamus and the dont do 3D 
4150,0,Had another amazing night with Tyler :* now off to work .... gotta make coffee for the early birds 
4200,0,Cant watch @twitchhiker as streaming banned at work  Hope someone records as MP4 and can email it to me!
4250,0,Grrrrr its snowing  i hate it when its cold!! It sure doesnt feel like spring
4300,0,HATES Othello and needs 5 language features + effects by tomorrow 
4350,0,@jacvanek are you a superpupermegaovermodel? sorry idk precisely  but thank you for adding me here and on myspace ;P
4400,0,"after the 1000. time watching...still don't really like the 5th Harry Potter movie  sad actually, i love the book though"
4450,0,@DanceofLife hiya which slides do you mean? Your contact photo in B/W? Had minor crisis too and had to replace all contacts so no photos 
4500,0,@amiefoley Yeah 
4550,0,and its done now i need to curl it omg i need someone to do this for me  then my make-up then get dressed then tidy up ... all befor one !
4600,0,@hot30 Listening to your show as always. HOW COULD YOU PLAY HALF OF THE NEW GREENDAY SONG? &amp; you just totally crushed my little heart  &lt;/3
4650,0,@Spike1506 lol i know 
4700,0,"@MarinaSg I KNOW, MAR!! I saw it in my updates!!  I don't understand.. are they changing again?"
4750,0,@ABIBAN ohnoes  what's up bansal?
4800,0,@Tracy_R Evil!! I have a prawn salad 
4850,0,Late to work and still feeling like poo. 
4900,0,@jwbrown83 it wasn't  bk down again now
4950,0,http://news.aol.com/?feature=416950    Very sad. 
5000,0,"@LouLouK Gisburn is great, there are some nice little single track. Did you try some of the new bits? I havent been in a while "
5050,0,the sun has given me a terrible headache 
5100,0,I had a dream about one of the people who I follow and they follow me...he went to prom and I didn't 
5150,0,@Irfan160  No  i'm so tired now.
5200,0,Cases like sandra cantu break my heart... Also the reason I'm uber protective of my girls 
5250,0,@coren42 erf can't listen to it at work 
5300,0,@jutecht btw...loved your baseball post...this is definitely best time of year...was disappointed red sox opener was rained out... 
5350,0,gotta get dressed amd go into work today  ..but do model nude every Tues/Thurs nite until May 7th in Union at the CC
5400,0,"@piginthepoke had other stuff to do after finishing in here last night, rather late to bed  With curry sauce, or mushy peas?"
5450,0,just sittin glooking out my window in work &amp; its raining  wish i was of sunny myself somewhere exotic!
5500,0,"ugh my head, too many margaritas for a monday  Can't wit for the Arsenal game though!!!"
5550,0,"our littlest hen is looking a bit miserable, hope it's not the return of being egg-bound "
5600,0,"Ouch, I just bit my tongue as I sneezed. Blood tastes rough "
5650,0,is super tired and really wants to go to bed but i have so much h/w to do......omg uni drains my life 
5700,0,"aww man, i cough a lot these days and my throat hurts like hell...i might get a doctor check-up "
5750,0,Good Morning Amy!  Your snow going away yet?  I can't deal with budgets &amp; numbers this early in the morning at work....... 
5800,0,Fuck i ripped my last pair of jeans 
5850,0,"@andrewcareaga Tried to listen to the Hold Steady, but there's no way to taste the songs before purchase. "
5900,0,thinks that Nigella does a shit tea add 
5950,0,is feeling pretty yucky! got this cold/flu thing going around  BOO
6000,0,"Sick, i guess no FTSK show tonight. "
6050,0,@charliehedges Im glad your having a good second day off- i've spent my 2nd day having to do the garden  too many bugs-not my style!
6100,0,"@GirlsGoneChild i'm sorry... go hold that little fable and inhale. feel better, sweet rebecca... "
6150,0,@djlissamonet they have thankfully. Unfortunately after much loss of life 
6200,0,I broke m.twitter.com too  http://twitpic.com/2ycz0
6250,0,Why is the net so slow today. So many sites are not opening 
6300,0,@dougiemcfly DONT do thaaat  or else i cant call you hot-dug anymore  HAHAHAHAHAHA
6350,0,"@Miss_Monrose Ouch  One good thing about living in Canada I 'spose, most of that is covered by government insurance."
6400,0,I still dearly miss the symfony dev environment when working with zend framework 
6450,0,"@TickleMeJoey when I read freezing, I think of -2 degrees. Its april here, and it wont stop snowing... "
6500,0,@ninirific I don't know but I'm coldy 
6550,0,what is up with firefox?! ever since the big update it keeps crashing... at least once a day 
6600,0,@ipv6freely gateway right?  
6650,0,"@sweetbabyboy I don't think I'll make the tea party tomorrow.  J. doesn't get home til 530, then I have to go to team kid/easter service."
6700,0,@baveo i actually prefer twirl but seem to be having issues with their new update. doesnt want to install on my comp. 
6750,0,ok to get more serious again: I'm now poking in me nose! trying to find some green but can't find none 
6800,0,The Red Shore and ent will make this Tuesday a little more enjoyable...but that's after class  Hope I make it...
6850,0,@epsonblue Yep. A case of me telling a story on auto-pilot I've told 50 times already. I was sat next to the guy's daughter. Gutted 
6900,0,getting ready to go get my toenail lasered 
6950,0,"Taking hubby 2 doc as soon as they can get him in, sumthin's in his neck disks where he had surgery 2 yrs ago "
7000,0,going to attempt a walk to see if that eases things 
7050,0,I'm sick and broken hearted  not a good mix!
7100,0,"Today is not my day.  I've spilled my water twice.  Dropping the water bottle once.  It's not broken yet, but I'm expecting it.  "
7150,0,"@mrscdonaldson I'm sorry, no one at LC will be able to open your link, because IT has now blocked access to bit.ly domain on LC computers "
7200,0,its so nice out today i wish i didnt have to work today 
7250,0,@spamantha00 I KNOW!  So sad..  
7300,0,I'm cold  and nothing seems to be working today like its supposed too...let's see if I can fix something...
7350,0,@petewentz why aren't you stopping around Asia for Believers Never Die tour?  You have your believers here too.
7400,0,It's gonna be a long agonizing Tuesday. 
7450,0,awake. really tired. didn't sleep well  class at 1 and 4.
7500,0,"intranet search results: looks like google , at first glance the relevance seems as bad as in almost every intranet "
7550,0,Having my AT&amp;T DSL going down so frequently is getting very annoying. 
7600,0,why isn't BumpTop out for Mac yet? 
7650,0,What's the best tool for sharing pictures on Twitter? I noticed that @henriliriani created dznr.org but I'm not invited to that party 
7700,0,can't write anymore papers  five to go
7750,0,"Omfg, days like these kill my soul. And it's not even lunchtime yet. "
7800,0,suuuhleepy in class. zombie for the day. essay kept me up last night 
7850,0,MMMM.... dyslexic fingers agian 
7900,0,But no mutant superpowers.  Got pumped up with radioactive juice and nuthin'. Can't shoot webï¿½ no big green musclesï¿½ nothin'! 
7950,0,its time for staff meeting..and now my boss is next to me so I wonï¿½t be surfing too much today 
8000,0,@enoch111 Whoops. I got a little too happy. Doesn't work. Takes me to Cisco's page.  Shoot.
8050,0,It is snowing here  But I figured out my term paper topic for Psych; Dreams!
8100,0,my site members mad at me and i think never forget me!! 
8150,0,Your average industry ï¿½nilla porno doesnï¿½t even start around a coffee table anymoreï¿½ what the hell? 
8200,0,Churnalism is definately the order of the day 
8250,0,ok on my way to the airport...no I not going anywhere  picking someone up
8300,0,@missmagz  ooooh I'm gonna add you to my link list and read from now on. I really think you should do the poetry month challenge tho sis! 
8350,0,@creeksta I'm sorry for your loss.   Are you okay?
8400,0,won points in the office F1 betting. but lots of people ahead of me coz i didn't bet in the first race 
8450,0,@lexcanroar i offered you waffles  waffles in love
8500,0,what should be for lunch today? i'm tired of panera. tired of sandwiches (OH NOES)... 
8550,0,Let's Go D-Backs!! Opening Day was great-- too bad I had to watch it from work    instead of from the ballpark.  Game 2 tonite !!
8600,0,@nat123321  sorry babes. Wanna message me and tell meh what's wrong??
8650,0,@ihenpecked leakage huh? I'm afraid I missed something good.  But my head hurts to bad to care...  bummer
8700,0,"cant believe her boyfriend just injured himself in the first game of footy, feel like i was going to cry,  "
8750,0,"Dreading the fact that she's at home, and not still in the Dominican "
8800,0,Alice is awesome. I wanna rip Jame's head off tooooo. 
8850,0,@DxTruettner SAD   My #1 cutie Brendan got blindsided BIG TIME.  Now I don't know who to root for.
8900,0,"@pinkee hnn, text me (or call me :\) if you want to like/want/whatev to talk to me  , but hmm, i see, you want to ignore me "
8950,0,Boooooo! Work tomorrow 
9000,0,"Good turnout for the party! I'm so out of it though, kinda just in my world for some reason  I guess I have too much on my mind"
9050,0,I am at my office right now 
9100,0,@guccilittlepigi I wish I wasn't spending record store day on a greyhound bus  ..aaand I;m seeing M.Ward next weeeekkkk!
9150,0,misses all my friends! 
9200,0,blue cheese is bitch.. whenever i start to crave cheese i know my weight is in upswing. 
9250,0,@iamjulito @tata4u2c im a smut i know 
9300,0,@bitsyfest it was all very emo. I was trying to Genius a Christophe Beck playlist but no go 
9350,0,"Is off to bed, got to be up in 5 hours "
9400,0,"some of the people on the show The Cougar are younger than me,  am i old? lol,"
9450,0,"watching b play video games.  oh well, its his birthday.  looove him. and fracking tired. lacking enough sleep to get through a full day. "
9500,0,"@taracuda yes, I've had twitter unfollow 1 person so far.  They finally fixed it, but now she hasn't posted for a few days.  bummer "
9550,0,I am teary eyed I want my firefly back. Wish river would have contributed to the documentary but it was amazing. I'm super sad now 
9600,0,@brittneygreen you were sleepy though! 
9650,0,Yayyyyy day 1 of coachella almost over. So tired 
9700,0,Wonders why do weekends fly by? And where do they go? 
9750,0,Hey everyone... Have a good weekend... it's a dull grey day here. 
9800,0,@cutiepie04ct I miss u tore whore  come back home
9850,0,Graphics card don't work - some kind of conflict or something 
9900,0,"Still dying. I am very, very ill. "
9950,0,@marleyuk still not got my msn workin 
10000,0,I think there's a problem with the ISP in this area or something...my connection go too slow to do anything online yesterday &amp; today 
10050,0,319 more followers til 1k  not happenin anytime soon
10100,0,"AH, my charger is dying. I won't ve able to log on for a few days. "
10150,0,"@trisulo I had butterflies in my tummy, it's all because of what we'll be facing on Monday  hbu?"
10200,0,"@karlotto That's a live version so it's not the same  It's more like the Bond version, YouTube maybe?"
10250,0,@of_many_masks  that you won't be here for the festivities.
10300,0,ive told her she either stops painting or i refuse to sleep in my room and she wont stop painting 
10350,0,@neilcurry I was just going to put that as my update! 
10400,0,I don't like being sick 
10450,0,@tbauer254  sorry to hear
10500,0,@KingKan u and product didn't come to my party 
10550,0,"it's a beautiful day and I'm going to go in to work!    But, I'll enjoy the sun tomorrow, so it's okay."
10600,0,"My sisters's dragging me to go upstairs already. So, good night. I wish I had a computer in my room. "
10650,0,"@jggggg  eew no! I can't driink the morning after, I just can't "
10700,0,Studying for a final...too bad it's beautiful outside 
10750,0,Doing some daily quests in WOW before the Bulls playoff game.  I have a feeling this is going to be a long afternoon.  
10800,0,.... I'm hungry but I'm scared to eat cause I'm bloated 
10850,0,Getting ready to drive an hour to get my iPhone replaced again  Praying this one is better then the last 2?
10900,0,I wanna go back to bed. Why can't I fall back asleep? 
10950,0,"Week 6 Day 1 - 25, 30, 20, 15, 45 http://hundredpushups.com I've actually moved backwards because of poor results on the exhaustion test. "
11000,0,@Wizbeff I wanna go record shopping today! 
11050,0,Stuck at curledge when i just quite frankly want to go home. Still in a bad mood  xx
11100,0,Gurns  are losing now 3-2 (yoooooo) unfortunately Cliftonville just went one up against us... 
11150,0,Still shakin from the shootin on my street last nite. I need a drink. 
11200,0,"@recurrence give em a present from me, i have had to replant three seedlings "
11250,0,I think the East Coast is stealin all the good weather 
11300,0,"@dimsum4u due to time constraints, just went to Green Lake "
11350,0,the only bad part about spring &amp; summer: bug bites/stings. 
11400,0,raced with Linsey and Jules this morning . . . who knew the OUHSC had so many HILLS? Geeee . . . they about did me in. 
11450,0,@Descending yeah yeah offer it now I'm halfway home 
11500,0,How I wish I didn't have finals to prepare for  #asot400
11550,0,felling like complete shit    &amp; i still need to write my paper
11600,0,I.m terrified of bee's and i can't get my work done cuz there over there 
11650,0,@AdamClaxon what an amazing challenge that's going to be! Alas... i cant paint pictures of pictures.... 
11700,0,@spunkywalrus I know  And she barely had a chance to get to know her.
11750,0,Where did the week go?!?!? Not enough hours in the day and not enough days in a week  
11800,0,"@nath_girl haha  i'm from brazil, but i cant speak spanish, sorry "
11850,0,Why is my server always the one the dies 
11900,0,My version of touching my shoulders and my stylists are very different. Hair is way short 
11950,0,The zipper of my favorite pants is now broken  i have perma open crotch!
12000,0,love my boyfriend but so tired of explaining to people why he's never out with me. 
12050,0,@myimpretentious thank you angel!  it's a shame you can't change the white of the tweet background 
12100,0,I'm annoyed because my sister didn't pay her half of the phone bill... so my phone doesn't work now 
12150,0,"@missdietz i dont know how i got that many followers but i think ive peaked   i wish i didnt have to work tonight, drinks outside=amazing!"
12200,0,@DonnieWahlberg im lonely 
12250,0,is going to miss my dentist  who is retiring ......because I'm a dentist wimp? No..because he let me run a tab LOL
12300,0,@Nouya Sorry that you are having some troubles! 
12350,0,Figures that I'm sick as a dog on the nicest day of the year so far... Anyone wanna play frisbee with a sickie? 
12400,0,@NikkiBenz They maybe updating your picture account. I had a day like that last week   Now things work much better than before ;)
12450,0,@Hapson never tried it  you'll have to let me know what it's like
12500,0,sitting at home sick 
12550,0,not studying...obviously. 
12600,0,"@cheryllbear nooo, mom i need to know so i can ask whit and chelsea is in abita springs until school she is going to new york in december "
12650,0,Oh no I lost a follower again  Gee as soon as I just share and talk they leave. No I don't have an exciting life nor am a celebrity
12700,0,@burningsound but that's kind of iffy for me too because my internet is up and down because of the weather too 
12750,0,wants something to go right today!! 
12800,0,I'm in class right now 
12850,0,"@mileycyrus i love you, answer me! i'm your number one faaan! "
12900,0,"@dibegin Aw, that's sad.  I'm sorry to read that."
12950,0,People depres me beyond reason! 
13000,0,i wanna see fleet foxes at coachella today 
13050,0,is enjoying Saturday w/Adam... he leaves for Germany for a week on Tues. 
13100,0,OMG. What a very sad ending  http://tinyurl.com/d4hrmq - Shirou and Saber could have at least been together ... http://plurk.com/p/ow5w9
13150,0,ooooh tonight not goin as well as planned   gonna hav a bath &amp; try chillax. Hope everyone else is enjoyin their Sat nights!!
13200,0,"Also, Rivers and Spires will probably be rained out. Rainy day and a goiter. "
13250,0,"@Solutionizers Yah, that's the problem I can't remember the theme name. "
13300,0,"I want to go out  Why must history be so, wordy?"
13350,0,So nice out! And I'm stuck at work... 
13400,0,VOC Emission Controls..   Can't wait for ffffffffffffFffffffffffffriday.
13450,0,"@DoNotDisconnect  you pirate. every time you do that, a kitten dies horribly. also, cd quality &gt; mp3"
13500,0,@phillprice Currently got the MK5 Golf &amp; love it. Wanted a MK6 but too small for the family now  got a new Mazda 6 coming Monday 
13550,0,Did the walk for autism and took a nap. Ugh! Now back to the homework. 
13600,0,"@tina1804 @cHello2k9 im so sorry, but im changing my profile pic back "
13650,0,My stomach has hurt ALL day.   Really sucks. ?
13700,0,Its beautiful out! These r the days when i hate being stuck inside with homework 
13750,0,"Not the best of pics, but better than nothing I suppose ;) Had more, but my cell ended up resetting resolution to 120x160 "
13800,0,i confess. i am never gonna be thin again if keep consuming crap. there i said it. 
13850,0,Craving pinkberry right now  and cant get my fix.
13900,0,"listening to britney and cleaning the house! I have a TON of shoes to get rid of, haven't even worn half of them "
13950,0,"Tirrred. Watching Chris Crocker videos. Just made some rocky rooaad, I wanna eat it but the chocolate hasn't set "
14000,0,@Catloverr I can't...too bored 
14050,0,"Guess it's official the now ex gf brought over my stuff from her apt  sad. she brought me subway with cookies, that was really nice of her"
14100,0,The guys are back - gone is the quiet.  
14150,0,I get to wear a skirt again tonight! yay! my wonderful pants are dirty 
14200,0,ill test you if you want but i gotter get off computer 
14250,0,"@tsongvilay1 Congratulations! I didn't catch my 2222 mark.  Oh well, there's always 3333..."
14300,0,I'm not special! 
14350,0,@Gailporter As in left for the day? Or left long term?? 
14400,0,"@suiteheart I hear you, friend "
14450,0,"Damn you, Noah Wyle, and your depressing polar bear commercial! "
14500,0,I think a headache is in the works 
14550,0,has been watching the film The Visitor and is feeling depressed. 
14600,0,@rrrachelle that sounds terrible 
14650,0,More rain.   Its not fun to be stuck inside with two kids with unending energy.
14700,0,Finally heading to the party. Emergency vehicles just arrived at Kroger and took out a stretcher. 
14750,0,only my hair stylist toni wasnt there! and i was rele mad! cuz i got some shitty girl who ALWAYS messes up the taper! 
14800,0,@exsanguinator re:BGT NNOOO! Cringe TV (&amp; embarrassment for us Brummies) bless 
14850,0,"im lonely  keep me company! 22 female, Minneapolis - Minnesota"
14900,0,@Wossy wonders why wossy doesn't ever reply to me 
14950,0,@MadGerald I know and VHS won the format war... 
15000,0,"im lonely  keep me company! 22 female, Jacksonville - Florida"
15050,0,"Oh and also i want to reiterate my condolances to The Pirate Bay guys, good luck with the appeal. Good luck in jail "
15100,0,havin those breathin problems again....think its time for a doctor this time 
15150,0,"@drunkenmonkey87 Lucky you ;) Im off tomoro, i was working like all day today crap much "
15200,0,fucking a 
15250,0,@kiimbee I just got out of the swimming pool too! And I got super dark 
15300,0,"@ddubsbostongirl @greekpeace Carys is ok, congrsted but happy still YAY! and I am ok, just trying 2 wake up sans Coffee "
15350,0,"Funny tasting A+B juice is not nice, especially when no one believes you. "
15400,0,"ANYWAY! AS U ALREADY KNOW, I'M KINDA ANNOYED  BUT I DON'T TRUST THE DIRECT MESSAGE SO IF U HAVE MY AIM, HOLLA @ ME ON THERE"
15450,0,I NEED HELP I WANT TO MAKE MY BFF' DREAM COME TRUE 
15500,0,@CursedJezzy my dog ate the cat 
15550,0,Found 10 bobbleheads in fallout 3 need 10 more  for the achievment
15600,0,@davefmv i hate football people as much as i hate female singers 
15650,0,It was rained out 
15700,0,Bought a purple shirt and plaid shorts to go w/it at aeropostale today. Tried to buy The Alison Rules book but couldn't find it @ waldens 
15750,0,"@allegromoderato Sounds like a great idea! I need to get my horn out and practice. It sits in its case, lonely and jealous of the  piano. "
15800,0,Prom is going to be wonderdul! It would be even more perfect if @megenn were coming 
15850,0,"but appartment is old... they need to make holes and so need the owner agreement, doesnt look good "
15900,0,@luke88addis wow you filled my whole page up with @aplusk Is The Twitter King! Now i'm having to go searching for tweets 
15950,0,Is tired of wearing skids!! 
16000,0,@stephhie101 i know !  i'm soo sad 
16050,0,Sick  I think I have a fever now. I had to turn down Blazer playoff tickets. I have seen better days.
16100,0,Long day.  Last night of Spring Break 
16150,0,@andreayoas you're mean 
16200,0,Missed the band 
16250,0,Petey misses Sali 
16300,0,Goodnight!  Big run tomorrow. How it doesn't rain too much 
16350,0,is feeling really hurt over this 
16400,0,Signal sucks here  Waiting for MIA to step onstage.  Stoked for The Killers after!
16450,0,is upset that @cassyecky  hasn't been on twitter lately. Where r u?i miss u 
16500,0,is really really tired 
16550,0,Oh go figure. Every time we go out something comes up and we have to cut it short. 
16600,0,Just ordered a new bag from Urban Outfitters!  Woo-hoo!  Time to retire this old one.  Going to bed now.  Gotta be up early   Night all!
16650,0,@Schalley boooo. Im always freaking busy lol yeahhhh I have to be at his show that night. 
16700,0,@mobilebitch  Ooops.. I had a bug   But I fixed it..    Try that tiny URL again..
16750,0,"@ReneeMurad finallly, it's about time you followed me... you should have come overrr "
16800,0,"If I see one more tweet about the SIL/QD concert, I am not gonna be happy. Sleep now. Bus ride somewhere. I have to leave tomorrow  "
16850,0,Hmm im usually dead rite now...ugh skool monday..no more oprah ellen or kathie lee and hoda     i wish u went to skool for a millisecond!!
16900,0,It's gay pride and didnt go 
16950,0,oki it iz now 3:00 am g2g sleep i have my last day of hoildayz 2morrow  love you guys ily..[[reunitation roxxx]]
17000,0,@Claymoore Hey... on your side bar under &quot;web address&quot; over there-----&gt; your web address is a bad blog page 
17050,0,peanut sauce does not agree with me 
17100,0,She did it again NO ReD LiGhT SPeCiaL 4 me  guess its gonna take another 2
17150,0,Managed to tether my phone then it just randomly stopped working and I've tried everything to fix it but no dice  sigh
17200,0,"@jeffreecuntstar i wiiiiish, love costa mesa, but stuck in palm beach!! "
17250,0,@nicolesimons he is friends with Christian. 
17300,0,Is sad. she broke her nail bowling 
17350,0,"@michalabanas Hey Michala! And yes, I have to work too. "
17400,0,"@alienantidote no condition christine?  that's definitely in my top 3 AOF songs, along with leaves and sing along. Glad you had fun."
17450,0,"@nick_carter of course i wanna go, BUT i'm in Chile, so far "
17500,0,Getting ready for the night! So sad my partner in action won't be joining me tonight 
17550,0,Going to bed hungry...  Is my twitter page depressing? lol
17600,0,"in the house of maca , please honey call me "
17650,0,@chelsea_playboy i dont know  BUT ITS FIXED NOW =]
17700,0,@neilhimself Do you know if it will play in Melbourne? 
17750,0,Ruca hurt her knee.  http://apps.facebook.com/dogbook/profile/view/5530715
17800,0,"@valentiinaa http://twitpic.com/3ktfr - YOU ARE GOING TO TEACH ME HOW TO PLAY GUITAR!!! Love you Valen, and Miss you "
17850,0,hanging with the hubby and my babygirl just watched the blazer game.. so sad 
17900,0,has one more day until spring break is over 
17950,0,is teary eyed b/c of a horrible toothache 
18000,0,Lizzzzz is da best. So not ready for my license test 
18050,0,@ryan_andrew haha yesss! i wanna see you tomorrow 
18100,0,@Sou_Philosopher somehow it hot deleted 
18150,0,Alonso is too light 
18200,0,Just wanted the bombers to win  
18250,0,My God-brother is back in the hospital.  please keep him in you're thoughts/prayers.
18300,0,@farebad  Mine either. And I think I love him. How pathetic.
18350,0,@polokenny lol rickys mean ima hurt him he called me a vulture 
18400,0,talking to an awesome guy im falling for. they always have to live so far away 
18450,0,Milk is so long! I am getting sleepy... it needs to be over. I feel as if I am going to need a tissue or two by the time this is over 
18500,0,@Cathlin ah that sucks. Sorry to hear that 
18550,0,"@chrisjortiz you didn't call, I waited up. "
18600,0,"@iAM_AshleyMarie awwww no  *hands you a drink, and some Nikes* ;)"
18650,0,Ehh I'm totally frustrated with life at the moment. 
18700,0,@s1ckvndl i want the entire collection! i love that heart box! i only have 3 seasons 
18750,0,"I also didn't walk today   I might walk tomorrow, dunno tho, if not I am definatly walking Sunday"
18800,0,@almostsurprised my feet hurt too 
18850,0,"Dennis... I'm sorry. Too Human is a bad game. Not just bad, really bad. You are familiar with games right? "
18900,0,"I'm up too early for a Sunday  bit hung over, need water !!!"
18950,0,up again 
19000,0,is at work. It looks like it going to be a beautiful day. Today is the last day I see my husband for 5 weeks 
19050,0,@hoomin I know it's so sad  So many people buy them on impulse and have no idea the work it takes to care for such a unique pet.
19100,0,@shNicolerz yeah D: ahahha. its gross 
19150,0,@wendywings  started raining in Mt Eden
19200,0,missing my boo 
19250,0,finally went out. kind of lame but we made it fun. ouch paper time 
19300,0,all alone in my cube 
19350,0,I AM GOING TO SLEEP. Tomorrow is my last day of break  and it is a very busy one so I need my sleep (I say at 2:30 am haha)
19400,0,"#firebug conflict with #twitter web, can't remove mistaken tweet easily "
19450,0,"you know whats depressing? Arriving at the airport and having nobody to greet you  in other news, dublin is sunny today...."
19500,0,I don't even know anymore.  Goodnight.
