CreditGrade,Term,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,LoanOriginalAmount,MonthlyLoanPayment,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
B,36,0,0.1499,0.1428,0.1278,0.12365000000000001,,,4.0,Unknown,6.0,0,NY,Car Dealer,Full-time,55.0,True,True,2D523366875352960F3C033,700.0,719.0,1994-05-14 00:00:00,16.0,13.0,42.0,10,246.0,9.0,31.0,0.0,0.0,8.0,0.0,0.0,10059.0,0.0,23607.0,38.0,0.89,3.0,0.19,"$75,000-99,999",True,7919.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,343.14,1.0,0,0,0.0,122
D,36,1,0.37372,0.3492,0.3392,0.33005,,,4.0,Unknown,6.0,3,NC,Skilled Labor,Full-time,3.0,False,False,Unknown,600.0,619.0,2004-04-17 00:00:00,7.0,6.0,8.0,5,103.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,3168.0,0.61,1841.0,7.0,1.0,3.0,0.34,"$1-24,999",True,1833.3333329999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,180.76,1.0,1,0,0.0,29
Unknown,36,1,0.22361999999999999,0.1899,0.1799,0.1757,0.061,0.1147,4.0,C,7.0,1,CA,Sales - Retail,Employed,38.0,False,False,Unknown,700.0,719.0,2005-03-04 00:00:00,3.0,2.0,13.0,1,15.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,1209.0,0.13,7791.0,13.0,0.76,0.0,0.6,"$1-24,999",True,1000.0,3.0,57.0,57.0,0.0,0.0,17400.0,0.01,10000,366.51,1.0,1,0,0.0,68
Unknown,60,1,0.35365,0.3258,0.3158,0.3013,0.1425,0.1588,2.0,E,6.0,2,FL,Executive,Employed,112.0,True,False,Unknown,660.0,679.0,1995-06-01 00:00:00,11.0,10.0,36.0,7,430.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,117418.0,0.99,843.0,34.0,0.91,0.0,0.21,"$100,000+",True,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,135.82,1.0,0,0,0.0,56
A,36,1,0.12503,0.111,0.101,0.09185,,,4.0,Unknown,6.0,4,NY,Other,Full-time,12.0,False,False,Unknown,720.0,739.0,2003-03-24 00:00:00,3.0,3.0,4.0,3,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,502.0,0.09,4998.0,4.0,1.0,1.0,0.07,"$50,000-74,999",True,4333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,295.07,1.0,0,0,0.0,293
HR,36,0,0.28545,0.27,0.26,0.25085,,,4.0,Unknown,6.0,0,IL,Nurse's Aide,Full-time,11.0,True,True,884F339364527063779E0CD,520.0,539.0,1993-10-06 00:00:00,16.0,14.0,43.0,13,301.0,2.0,6.0,6.0,419.0,8.0,0.0,0.0,5887.0,0.37,7943.0,41.0,0.53,0.0,0.17,"$25,000-49,999",True,2666.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,61.24,1.0,0,0,0.0,17
Unknown,36,1,0.23383,0.1999,0.1899,0.1855,0.087,0.0985,4.0,C,6.0,1,FL,Professional,Employed,102.0,True,False,Unknown,780.0,799.0,1973-09-30 00:00:00,15.0,15.0,46.0,14,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23648.0,0.66,9517.0,43.0,0.88,0.0,0.44,"$25,000-49,999",True,3916.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000,445.9,1.0,0,0,0.0,176
Unknown,36,0,0.28574,0.2625,0.2525,0.1463,0.1,0.1463,3.0,D,7.0,1,CA,Other,Full-time,51.0,False,False,Unknown,640.0,659.0,1988-04-27 00:00:00,5.0,5.0,21.0,4,212.0,2.0,9.0,0.0,0.0,9.0,2.0,0.0,8441.0,0.97,230.0,17.0,0.76,0.0,0.16,"$50,000-74,999",True,4666.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,101.06,1.0,0,0,0.0,99
Unknown,36,1,0.17359000000000002,0.1449,0.1349,0.1326,0.0595,0.0731,5.0,B,8.0,1,TX,Professional,Employed,24.0,True,False,Unknown,740.0,759.0,1999-06-25 00:00:00,12.0,12.0,40.0,12,612.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,20061.0,0.43,26209.0,35.0,1.0,1.0,0.13,"$75,000-99,999",True,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000,240.91,1.0,0,0,0.0,116
Unknown,36,1,0.35643,0.3199,0.3099,0.2917,0.165,0.1267,1.0,HR,3.0,1,UT,Accountant/CPA,Employed,49.0,True,False,Unknown,680.0,699.0,2001-04-11 00:00:00,13.0,8.0,44.0,4,430.0,5.0,16.0,0.0,0.0,11.0,0.0,0.0,10066.0,0.87,733.0,41.0,1.0,2.0,0.17,"$75,000-99,999",True,7166.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,174.2,1.0,0,0,0.0,16
Unknown,60,0,0.24702,0.222,0.212,0.207,0.065,0.142,4.0,C,5.0,1,OR,Construction,Employed,240.0,True,False,Unknown,660.0,679.0,2000-02-04 00:00:00,10.0,9.0,23.0,5,259.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,6066.0,0.43,6148.0,19.0,0.94,2.0,0.27,"$50,000-74,999",True,5000.0,1.0,9.0,9.0,0.0,0.0,8000.0,7230.03,12500,346.66,1.0,0,0,0.0,120
Unknown,36,0,0.12663,0.1055,0.0955,0.0627,0.0325,0.0627,6.0,A,9.0,2,MO,Professional,Employed,222.0,True,False,Unknown,720.0,739.0,1982-07-07 00:00:00,11.0,10.0,71.0,8,268.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10238.0,0.59,7082.0,38.0,0.81,0.0,0.15,"$75,000-99,999",True,7591.666667,3.0,55.0,53.0,2.0,0.0,10500.0,1289.75,10657,346.63,1.0,0,0,0.0,232
HR,36,0,0.32327,0.2995,0.2895,0.28035,,,4.0,Unknown,6.0,5,IL,Food Service,Part-time,30.0,False,False,Unknown,520.0,539.0,2005-09-19 00:00:00,2.0,2.0,5.0,2,158.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4339.0,1.05,13.0,2.0,1.0,1.0,0.26,"$1-24,999",True,1166.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200,93.33,1.0,0,0,0.0,28
Unknown,60,1,0.34408,0.3165,0.3065,0.2788,0.1425,0.1363,2.0,E,6.0,1,CA,Other,Employed,26.0,False,False,Unknown,660.0,679.0,2001-12-04 00:00:00,7.0,4.0,12.0,4,60.0,6.0,9.0,0.0,0.0,9.0,0.0,0.0,1787.0,0.15,8763.0,10.0,1.0,5.0,0.03,"$75,000-99,999",True,7083.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,133.5,1.0,0,0,0.0,83
Unknown,36,1,0.31032,0.2712,0.2612,0.2382,0.1275,0.1107,2.0,E,5.0,1,CA,Nurse (RN),Employed,98.0,False,False,Unknown,700.0,719.0,1998-12-07 00:00:00,14.0,8.0,53.0,3,376.0,5.0,7.0,1.0,70659.0,24.0,0.0,0.0,49669.0,0.7,20631.0,42.0,0.97,2.0,0.25,"$100,000+",True,9750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500,265.78,1.0,0,0,0.0,86
Unknown,36,1,0.35796999999999995,0.3177,0.3077,0.2896,0.165,0.1246,1.0,HR,4.0,1,TX,Sales - Retail,Employed,167.0,True,False,Unknown,660.0,679.0,1995-10-23 00:00:00,20.0,17.0,50.0,12,405.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,33631.0,0.85,5651.0,49.0,1.0,4.0,0.23,"$100,000+",True,12083.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,173.71,1.0,0,0,0.0,15
A,36,1,0.13202,0.125,0.115,0.10585,,,4.0,Unknown,6.0,3,MD,Computer Programmer,Full-time,2.0,True,False,Unknown,720.0,739.0,1994-02-01 00:00:00,10.0,10.0,29.0,10,678.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,64107.0,0.0,49400.0,28.0,1.0,0.0,0.14,"$100,000+",True,8333.333333,1.0,9.0,9.0,0.0,0.0,10101.0,7032.26,17944,600.29,1.0,0,0,0.0,478
B,36,0,0.16717,0.16,0.15,0.14085,,,4.0,Unknown,6.0,0,FL,Laborer,Full-time,4.0,True,True,CD0E3364909037313F32874,680.0,699.0,1976-06-01 00:00:00,16.0,16.0,32.0,13,900.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,50887.0,0.89,5312.0,30.0,0.86,1.0,0.46,"$50,000-74,999",True,4833.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18500,650.41,1.0,2,1,200.0,206
Unknown,36,0,0.37453000000000003,0.35,0.34,0.1399,0.18,0.1399,1.0,HR,5.0,3,GA,Food Service Management,Full-time,13.0,False,False,Unknown,640.0,659.0,2002-07-31 00:00:00,1.0,1.0,20.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.22,"$25,000-49,999",True,2833.333333,1.0,18.0,18.0,0.0,0.0,4000.0,2230.95,3600,162.85,1.0,0,0,0.0,26
Unknown,36,1,0.09643,0.093,0.083,0.068,0.015,0.068,7.0,AA,8.0,1,PA,Other,Full-time,115.0,True,False,Unknown,800.0,819.0,1998-10-31 00:00:00,8.0,7.0,26.0,5,150.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,210.0,0.03,6490.0,24.0,0.95,0.0,0.31,"$25,000-49,999",True,3333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500,239.55,1.0,0,0,0.0,238
A,36,1,0.12503,0.111,0.101,0.09185,,,4.0,Unknown,6.0,2,FL,Construction,Full-time,112.0,True,False,Unknown,740.0,759.0,1996-02-27 00:00:00,13.0,12.0,51.0,2,907.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,21159.0,0.0,0.0,48.0,0.97,0.0,0.16,"$100,000+",True,13333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000,295.07,1.0,0,0,0.0,348
Unknown,36,0,0.35643,0.3199,0.3099,0.2957,0.147,0.1487,2.0,E,4.0,1,NY,Retail Management,Employed,106.0,False,False,Unknown,660.0,679.0,2006-11-24 00:00:00,4.0,4.0,8.0,5,120.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,5017.0,0.65,2683.0,5.0,1.0,0.0,0.14,"$25,000-49,999",True,2875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500,283.07,1.0,0,0,0.0,106
HR,36,1,0.32285,0.3,0.29,0.28085,,,4.0,Unknown,6.0,4,CA,Truck Driver,Part-time,26.0,False,False,Unknown,520.0,539.0,2004-01-29 00:00:00,18.0,17.0,22.0,18,262.0,17.0,54.0,0.0,0.0,0.0,0.0,0.0,10406.0,0.83,1802.0,20.0,1.0,1.0,0.15,"$25,000-49,999",True,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600,52.39,1.0,0,0,0.0,28
C,36,0,0.1501,0.143,0.123,0.12384999999999999,,,4.0,Unknown,6.0,0,NC,Professional,Full-time,105.0,False,True,783C3371218786870A73D20,640.0,659.0,1993-04-29 00:00:00,5.0,4.0,14.0,3,0.0,6.0,13.0,3.0,702.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.64,3.0,0.12,"$25,000-49,999",True,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,102.97,1.0,0,0,0.0,61
Unknown,36,1,0.13271,0.1115,0.1015,0.0662,0.035,0.0662,6.0,A,9.0,7,PA,Professional,Employed,79.0,True,False,Unknown,780.0,799.0,1996-07-29 00:00:00,6.0,6.0,16.0,4,267.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13215.0,0.41,18285.0,14.0,1.0,0.0,0.15,"$50,000-74,999",True,4208.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,164.05,1.0,0,0,0.0,244
