id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
127900,Italy,"Charred earth, underbrush, cured meat and toasted hazelnut aromas lift out of the glass. The robust palate is almost overripe, offering dried black cherry, grilled sage, tobacco and a hint of game alongside tightly packed tannins that clench the finish. Drink 2019–2025.",,89,65.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Palazzo 2011  Brunello di Montalcino,Sangiovese,Palazzo
69131,US,"Try this as an alternative to Merlot or Pinot Noir. Well balanced and medium bodied, it has light and appetizing cherry and strawberry flavors and a smooth mouthfeel.",Jamie Lynn Vineyard,87,11.0,California,California,California Other,Jim Gordon,@gordone_cellars,McManis 2013 Jamie Lynn Vineyard Barbera (California),Barbera,McManis
68653,US,"There's compelling balance between the baked red cherry fruit, graphite-like minerality and brown spice on the nose of this bottling, further enhanced by leather and earth aromas. Bright raspberry meets with cooked strawberry and licorice flavors on the palate, where a somewhat frothy texture is powered by acidity atop soft yet somewhat structuring tannins.",Symphony,93,42.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Kessler-Haak 2013 Symphony Pinot Noir (Sta. Rita Hills),Pinot Noir,Kessler-Haak
95514,US,"Showing sweet toasty oak, brisk acidity and pure flavors of citrus fruit and apricot, this is a very rich, dry Chardonnay, although all of its parts haven't quite come together. While it's not an ager, it will benefit from holding until mid-2013, but not any longer.",Horseshoe Bend Vineyard,89,25.0,California,Russian River Valley,Sonoma,,,Occidental Road Cellars 2010 Horseshoe Bend Vineyard Chardonnay (Russian River Valley),Chardonnay,Occidental Road Cellars
75021,US,"Aromas of blue fruit, smoke and herb are followed by plump rounded plum flavors. It delivers a lot of enjoyment.",Boushey Vineyard,88,29.0,Washington,Washington,Washington Other,Sean P. Sullivan,@wawinereport,Ott & Murphy 2014 Boushey Vineyard Counoise (Washington),Counoise,Ott & Murphy
116628,US,"Though Syrah is not new to Southern Oregon, the recent rise in quality may surprise you. DanCin's Danseur is estate-grown in the Applegate Valley. It's an aromatic, tightly woven gem, loaded with plum, berry and kirsch, highlights of herb and bramble and a finish streaked with chocolate, espresso and licorice. Tannins are polished and the flavors linger delightfully.",Danseur,92,35.0,Oregon,Southern Oregon,Southern Oregon,Paul Gregutt,@paulgwine ,DanCin 2012 Danseur Syrah (Southern Oregon),Syrah,DanCin
60817,Spain,"Simple brown sugar scents make for a monotone bouquet. Creamy and thick on the palate, this PX tastes largely of maple syrup and toffee. Overall, it delivers sweetness and toffee notes but not much complexity.",Premium Pedro Ximénez,87,25.0,Andalucia,Jerez,,Michael Schachner,@wineschach,Delgado Zuleta NV Premium Pedro Ximénez Pedro Ximénez (Jerez),Pedro Ximénez,Delgado Zuleta
109408,Italy,"The 2007 Excelsus is a gorgeous super Tuscan expression (with Cabernet Sauvignon and Merlot) that shows quality and superior fruit on all levels. Castello Banfi has really hit a home run with this vintage. You'll encounter persuasive aromas of cassis, blackberry, chocolate, tobacco, curry leaf and deep renderings of exotic spice. The wine's texture is exceedingly smooth, rich and long lasting.",Excelsus,97,81.0,Tuscany,Toscana,,,,Castello Banfi 2007 Excelsus Red (Toscana),Red Blend,Castello Banfi
16565,US,"While it shows modest cherry pie filling flavors, it's simple and sweet, with a harshness from acidity and tannins.",Les Enfants Terribles,83,24.0,California,Dry Creek Valley,Sonoma,,,Dashe Cellars 2010 Les Enfants Terribles Grenache (Dry Creek Valley),Grenache,Dashe Cellars
70784,US,"The aromas offer notes of red fruit, spice and green wood, seeming hot. The cranberry and raspberry flavors are elegant and bring a better sense of balance, though the wood pokes out.",Monarch Reserve Zephyr Ridge Vineyards,85,25.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Latah Creek 2012 Monarch Reserve Zephyr Ridge Vineyards Primitivo (Horse Heaven Hills),Primitivo,Latah Creek
112243,US,"This bold, intense expression of the variety entices with an exuberant nose of white pepper, clove and cardamom scents, a spark of pine needle fragrance just underneath. Tingly acidity provides freshness and added succulence to its otherwise rich texture and black cherry decadence.",,93,65.0,California,Green Valley,Sonoma,Virginie Boone,@vboone,La Crema 2014 Pinot Noir (Green Valley),Pinot Noir,La Crema
97165,US,"Too sweet, with a sugary finish that tastes like lemonade and pineapple juice.",,82,10.0,California,Central Coast,Central Coast,,,Cycles Gladiator 2006 Chardonnay (Central Coast),Chardonnay,Cycles Gladiator
120838,US,"Tangy blueberry fruit tones show on the nose of this bottling, with caramel and floral accents. There's snappy black fruit on the palate, where powerful acidity keeps the wine dancing across the tongue.",My Love,88,52.0,California,Happy Canyon of Santa Barbara,Central Coast,Matt Kettmann,@mattkettmann,Sevtap 2013 My Love Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,Sevtap
100571,Spain,"This Tempranillo-based rosé is clean up front, with hints of citrus and chewing gum to the nose. A solid mouthfeel makes for a good palate, while this offers a quick pop of zesty citrus fruit that's backed by duller yeast and wheat notes on the finish.",,87,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Urbina 2015 Rosé (Rioja),Rosé,Urbina
39540,US,"High alcohol of 20% makes this dessert wine hot in the mouth. That's the main impression, because the sweetness and fruit aren't quite strong enough to balance the heat. Nonetheless it's pretty sweet, with blackberry jam and chocolate flavors.",Mistral Vineyard,87,40.0,California,Central Coast,Central Coast,,,Williams Selyem 2004 Mistral Vineyard Port (Central Coast),Port,Williams Selyem
96766,Germany,"While dry in style, this ripe, lushly textured Riesling feels flush with peaches and nectarines glazed in caramelized sugar. It's bold in body, yet briskly acidic, finishing elegantly on a bitter lime-zest note.",Hattenheimer Schützenhaus Kabinett Trocken,89,21.0,Rheingau,,,Anna Lee C. Iijima,,Weingut Hans Bausch 2011 Hattenheimer Schützenhaus Kabinett Trocken Riesling (Rheingau),Riesling,Weingut Hans Bausch
48780,US,"Hailing from a single vineyard in Michigan's southern AVA, this is a Cabernet Sauvignon-dominant blend (77%), with Cabernet Franc, Merlot and Petite Verdot making up the difference. This has cooked-down bramble berry aromas on the nose, and also brings to mind twings and stems. The medium-bodied palate shows a bit more character, with juicy black berry and red currant flavors elevated over green peppercorn and medium-grained tannins.",Shou,86,45.0,Michigan,Lake Michigan Shore,,Alexander Peartree,,Wyncroft 2012 Shou Red (Lake Michigan Shore),Bordeaux-style Red Blend,Wyncroft
77546,Spain,"Floral soupy plum aromas come with notes of road tar, violet, lavender and grass. This has a jammy, saturated, chunky mouthfeel to go with plum and spiced-berry flavors. Exotic notes of cardamom and clove are key to a spicy finish. This is a blend of Monastrell, Tempranillo and Cabernet Sauvignon.",Blés Crianza Organic Wine,88,19.0,Levante,Valencia,,Michael Schachner,@wineschach,Aranleón 2014 Blés Crianza Organic Wine Red (Valencia),Red Blend,Aranleón
94860,US,"Grown in Green Valley, this medium-bodied wine offers heady Asian spices seasoned over tart, tangy orange and cherry. Pretty aromatics ride shotgun over a depth of earth and soft tannin and smoky oak, the wine ultimately plush and lush.",Dutton Ranch,91,40.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Sonoma-Loeb 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Sonoma-Loeb
17283,France,"Perfumed, floral and ageworthy, this combines a taut texture with a toast note, showing great depth of flavor. The line of pure green and white fruit is very apparent. On the finish, bright acidity matches the great fruitiness.",Les Folatières Premier Cru,94,80.0,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Domaine Vincent Girardin 2010 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Vincent Girardin
92067,France,"Almost tan in color, with neutral aromas and a dull, almondy flavor profile. Round and smooth. but all in all it's boring and fading fast.",L'Alycastre,81,10.0,Provence,Côtes de Provence,,Michael Schachner,@wineschach,Domaine de la Courtade 2001 L'Alycastre Rosé (Côtes de Provence),Rosé,Domaine de la Courtade
101770,Spain,"Reduced, jammy aromas of boysenberry, plum and blueberry set up a woody, choppy feeling palate with tannins that need to mellow. Raisiny berry flavors are on the heavy side, while residual oak notes are prominent. A tannic, drawing finish is dense, woody and in need of settling. Drink through 2030.",Reserva,91,60.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Licenciado 2012 Reserva  (Rioja),Tempranillo,Licenciado
2660,Italy,"Tageto shows a compact, elegant style with ripe cherry, cassis, rum cake and leather aromas. Sweet fruit and lively spice appear on the close.",Tageto,89,,Tuscany,Toscana,,,,Donna Olimpia 1898 2009 Tageto Red (Toscana),Red Blend,Donna Olimpia 1898
116953,France,"There is a layer of tannins here that impart a dry edge to what is otherwise sweetly fruity wine. It is full and juicy, with strawberry fruit flavors.",Nouveau,84,10.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Georges Duboeuf 2011 Nouveau  (Beaujolais),Gamay,Georges Duboeuf
84150,Germany,"Delicate aromas of herb and white peach stand in contrast to the ripe, almost candied yellow peach and mango flavors on the palate of this medium-sweet Riesling. It's juicy and lip smacking but spry and crisp on the finish. Drink now to enjoy its youthful freshness.",Noble House,89,12.0,Mosel,,,Anna Lee C. Iijima,,Dr. Pauly Bergweiler 2016 Noble House Riesling (Mosel),Riesling,Dr. Pauly Bergweiler
62252,South Africa,"This Cab-dominant blend with 15% each Merlot and Cabernet Franc is aged for 25 months in medium-toast new French oak, and the result is a balanced and supple red with flavors of black plum, cassis, hickory bacon, bramble and a touch of milk chocolate on the finish. Ready to drink now.",Paul Sauer,90,43.0,Simonsberg-Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Kanonkop 2005 Paul Sauer Red (Simonsberg-Stellenbosch),Bordeaux-style Red Blend,Kanonkop
79499,Portugal,"This wine is a fine exposition of the structure and density of a serious Douro wine. A field blend, it is packed with dark berry fruits and sweet tannins, with a strong mineral element that reflects the tough schist of the vineyards. It's drinkable now, but the wine will be better in 2016.",VT '08,91,47.0,Douro,,,Roger Voss,@vossroger,Quinta do Sagrado 2008 VT '08 Red (Douro),Portuguese Red,Quinta do Sagrado
81170,US,"A rustic, sweet Cabernet, with an irregular, mouthfeel and sharp, jammily candied blackberry flavors. The sharpness is unlikely to age away.",,84,60.0,California,Napa Valley,Napa,,,Padilla Erickson 2010 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Padilla Erickson
108508,US,"Assertive and spicy, this interesting bottling, from Amity vineyard estate grapes, shows that even at just 13% alcohol Oregon Pinot can cut it. Made in a distinctive style that is clearly neither California nor Burgundy, this herbal, intense, wine puts the focus on the aromas, a beguiling mix of pine and herb. But the fruit is there right behind, tart and sassy, with cola and root beer notes sliding into a well-modulated but tannic finish.",Paciência,88,25.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Coelho 2005 Paciência Pinot Noir (Oregon),Pinot Noir,Coelho
44099,Mexico,"Smells crisp and pineapple-y and tastes of tart pineapple and pear, but the mouthfeel is thick and syrupy. Finishes relatively clean and tangy.",,84,10.0,Valle de Guadalupe,,,,,L.A. Cetto 2001 Chardonnay (Valle de Guadalupe),Chardonnay,L.A. Cetto
101550,US,"Warm red-cherry aromas meet with light hints of sage and leather on the very shy nose of this bottling from one of the region's larger growers. The flavors are also light and rustic, with tart cranberry and hints of leather and game.",,86,36.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Scheid Vineyards 2015 Pinot Noir (Monterey),Pinot Noir,Scheid Vineyards
32003,Italy,"The Le Vigne cru from Luciano Sandrone delivers focused aromas of wild cherries, white almond, cola and light shadings of sweet spice. The texture is drying and firm and the wine excels in the mouth thanks to the tight and supple feel of its tannins. Pair this delicious wine with lamb, pork or beef.",Le Vigne,94,155.0,Piedmont,Barolo,,,,Luciano Sandrone 2005 Le Vigne  (Barolo),Nebbiolo,Luciano Sandrone
128985,Italy,"A blend based on Nerello Mascalese, with a tiny percentage of Nerello Cappuccio, this boasts a bold, compelling bouquet of wild berry, leather, tobacco and a light shading of crushed spice. The mouthfeel is characterized by elegance, power and determination.",Feudo,93,55.0,Sicily & Sardinia,Etna,,,,Girolamo Russo 2009 Feudo  (Etna),Nerello Mascalese,Girolamo Russo
71322,Italy,"Dense and chewy, this highly nuanced example offers up an enticing combination of animal notes (sweaty saddle, leather) and vibrant fruit (raspberry, cherry). The abundant tannins and ambitious level of oak will benefit from five to 10 years aging.",Serraboella,91,75.0,Piedmont,Barbaresco,,,,Cigliuti 2004 Serraboella  (Barbaresco),Nebbiolo,Cigliuti
35476,US,It's rare to see a vineyard-designated bottle of Pinot Gris from the state. This one brings light aromas of apple and pear that are followed by dry fleshy fruit flavors. It hits all the right notes.,The Benches Vineyard,90,14.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Nine Hats 2015 The Benches Vineyard Pinot Gris (Horse Heaven Hills),Pinot Gris,Nine Hats
8536,US,"Intensely fruity, almost tropical, on the nose, this juicy Chardonnay is chock full of fresh pineapple, melon and mango flavors. While not complex, it's a fun, widely appealing wine marked by bright acidity and luscious mouthfeel. Enjoy now through 2019.",Estate Reserve,87,16.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Stony Lonesome 2015 Estate Reserve Chardonnay (Finger Lakes),Chardonnay,Stony Lonesome
104481,US,"Slightly funky aromas of dried, composting red and purple roses meet with crushed mint, vanilla and red berries on the nose of this complex bottling. Pomegranate, red plum and strawberry fruit show on the palate, bolstered by wet gravel, thyme and black-pepper spice.",Reserve,88,30.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Clos LaChance 2013 Reserve Grenache (Central Coast),Grenache,Clos LaChance
9460,US,"Typically the most forward of the winery's offerings, this wine brings aromas of blue fruit along with notes of fire pit, olive, mineral and cured meat that become more prominent over time. The blue and black-fruit flavors are dense and focused, with a firm backbone of tannins providing support. It needs time in the cellar to stretch its legs.",Ceidleigh,91,39.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Efeste 2013 Ceidleigh Syrah (Red Mountain),Syrah,Efeste
79718,France,"Following on from the great 2002 vintage of this wine, the 2004 is equally memorable. It is a magnificent wine, structured and beautifully balanced between the ripe white fruits and the tight texture that will allow it to age many years. While drinkable now, it is still young at 11 years, still with great potential. Drink now, until 2024, and probably beyond.",Cuvée Sir Winston Churchill Brut,97,305.0,Champagne,Champagne,,Roger Voss,@vossroger,Pol Roger 2004 Cuvée Sir Winston Churchill Brut  (Champagne),Champagne Blend,Pol Roger
69478,Italy,"Intensely perfumed, this offers enticing scents of wild red berry, rose, violet and exotic spice. The polished, linear palate delivers ripe black cherry, spiced blackberry, cinnamon and star anise alongside silky tannins and refreshing acidity.",,92,23.0,Southern Italy,Irpinia,,Kerin O’Keefe,@kerinokeefe,Contrade di Taurasi - Lonardo 2012 Aglianico (Irpinia),Aglianico,Contrade di Taurasi - Lonardo
30553,France,"This is a new wine from these enterprising négociants. Fruity, crisp and light, it has a tangy orange zest texture that gives extra brightness. Very fresh and ready to drink.",,88,17.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Hecht & Bannier 2013 Rosé (Côtes de Provence),Rosé,Hecht & Bannier
33314,Spain,"Young and bouncy, and that's to be expected from this type of juvenile Tempranillo. However, should you like full-fruit young wines with force and no oak, it's not at all bad. Expect juicy black cherry and other runaway flavors.",,84,11.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Condado de Oriza 2006  Ribera del Duero,Tempranillo,Condado de Oriza
83861,Portugal,"Dark in color, this is a powerful, classic wine, with dense tannins. It has rich black-fruit flavors, and notes of wood and herb that are packed into its concentrated, dry structure. This is a great Douro for aging.",Batuta,95,100.0,Douro,,,Roger Voss,@vossroger,Niepoort 2009 Batuta Red (Douro),Portuguese Red,Niepoort
30961,Australia,"Despite some almost citrusy and asparagus-like aromas, this well-built Cabernet compensates by offering a creamy, supple texture and moderately rich coffee flavors. Finishes a bit astringent and hard, but should soften in a year or two.",,87,17.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Wakefield 2005 Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,Wakefield
76847,Italy,"This marches to the beat of its own drum, presenting a different style and bouquet than the average Amarone. In fact, this is thinner and more streamlined, with plump blackberry and boysenberry tones that are backed by moist earth and tobacco accents. It shows a feminine side to one of Italy's most powerful reds.",L'Amarone,88,75.0,Veneto,Amarone della Valpolicella,,,,La Collina dei Ciliegi 2007 L'Amarone  (Amarone della Valpolicella),"Corvina, Rondinella, Molinara",La Collina dei Ciliegi
13028,Spain,"Might this be the best wine Marqués de Cáceres has produced? The vintage is one of Spain's greatest, and gran reserva is supposed to be Rioja in its loftiest form. So indulge in this beauty's rock-solid structure, lovely violet and raspberry aromas, and long, stout finish. Best from 2012–2018.",Gran Reserva,92,35.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Marqués de Cáceres 2001 Gran Reserva  (Rioja),Tempranillo Blend,Marqués de Cáceres
110757,US,"This is rich in black currants and dark chocolate, with a hefty jacket of smoky oak. It's a little one-dimensional, but a pretty good Napa Valley Cabernet.",,84,30.0,California,Napa Valley,Napa,,,Volunteer 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Volunteer
41050,Germany,"Savory whiffs of clay and smoked nuts belie the pristine white peach and grapefruit flavors that flood the palate of this semidry Riesling. It's juicy and primary, but irresistibly so, finishing on a lingering note of spice and saffron.",Piesporter Goldtröpfchen,89,16.0,Mosel,,,Anna Lee C. Iijima,,Leonard Kreusch 2013 Piesporter Goldtröpfchen Riesling (Mosel),Riesling,Leonard Kreusch
69298,Portugal,"Attractive and open, this has sweet fruit and a fresh character. With bright acids and hedgerow fruits, it is ready to drink.",Castelo do Sulco,85,,Lisboa,,,Roger Voss,@vossroger,Parras Vinhos 2009 Castelo do Sulco Red (Lisboa),Portuguese Red,Parras Vinhos
113534,France,"This is still a young wine, with its ripe red fruits and black cherry flavors. The taste of licorice mingles with the fruit and balances with the smoky toast flavors. It's a rich wine that needs time, so drink from 2016.",Clos Saint Landelin,90,75.0,Alsace,Alsace,,Roger Voss,@vossroger,René Muré 2012 Clos Saint Landelin Pinot Noir (Alsace),Pinot Noir,René Muré
13216,France,"This wine is still young, showing more of its red fruits than the structure that will develop. The crisp, red cherry flavor shows the freshness and acidity of the vintage. It will be better in a year, so drink from late 2015.",,86,22.0,Beaujolais,Fleurie,,Roger Voss,@vossroger,Domaine de Leyre-Loup 2013  Fleurie,Gamay,Domaine de Leyre-Loup
107138,Austria,"Fresh redcurrant flavors peek through subtle French oak tones, all balanced nicely by bright acidity. Lighter-bodied and toned, this will be perfect for starters or light lunches.",Haidegrund,86,36.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Schloss Gobelsburg 2011 Haidegrund St. Laurent (Niederösterreich),St. Laurent,Schloss Gobelsburg
94275,US,"The nose on this bright red blend from Sanders Ridge is spicy and smoky with abundant red fruit, leather and tobacco. The cheery red fruits carry through on the palate as well with a plush, but pleasant demeanor. There's not a lot of structure or depth, but it's an easy, fun wine.",Big Woods,83,18.0,North Carolina,Yadkin Valley,,Anna Lee C. Iijima,,Sanders Ridge 2008 Big Woods Red (Yadkin Valley),Bordeaux-style Red Blend,Sanders Ridge
81749,France,"This fresh, stalky wine has hints of wood. The fruit is light and only just ripe, giving it a tight character, with plenty of acidity and a dry core of tannins. It will be ready to drink in a crisp way from 2017.",,85,22.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Poitevin 2013  Médoc,Bordeaux-style Red Blend,Château Poitevin
17837,Italy,"Clean and fresh, this Piedmontese white offers lively almond, pear and grapefruit aromas.  Light and even melon and pear flavors with herb accents grace the paalte and the fairly extended finish shows an attractive, slight spiciness.",Le Lune,86,14.0,Piedmont,Gavi,,,,Marchesi di Barolo 1999 Le Lune  (Gavi),Cortese,Marchesi di Barolo
39668,Argentina,"A lightly charred, foresty nose includes aromas of blackberry, cassis, hard spices, licorice and leather. This is lively but balanced in terms of feel, with richness and raciness playing off each other. Flavors of baked black fruits, peppery spice and licorice finish dark, long and bright, with juicy acidity that will keep this healthy for years to come. Drink through 2024.",Los Membrillos,93,120.0,Mendoza Province,La Consulta,,Michael Schachner,@wineschach,Zuccardi 2012 Los Membrillos Cabernet Sauvignon (La Consulta),Cabernet Sauvignon,Zuccardi
87712,France,"Crisp and fruity, this is a wine full of red currant and blackberry flavors. It does have a tannic structure that will allow the wine to develop along with the acidity. In the family for three-generations, the estate is now run by Denis Hazane. Drink from 2018.",,86,13.0,Bordeaux,Blaye Côtes de Bordeaux,,Roger Voss,@vossroger,Château la Roseraie 2014  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château la Roseraie
42939,Austria,"Attractively herbaceous, this is full of green fruit and intense citrus, with a tangy texture. Screwcap.",Rotenpüllen,87,23.0,Niederösterreich,,,Roger Voss,@vossroger,Pratsch 2010 Rotenpüllen Sauvignon Blanc (Niederösterreich),Sauvignon Blanc,Pratsch
13554,US,"Fresh young cherry-berry aromas, with a kiss of oak, lead to extracted, jammy, full-bodied flavors that explode in the mouth. Soft, luscious and round, there's lots of immediate pleasure here.",French Camp Vineyards,85,28.0,California,Paso Robles,Central Coast,,,Kunin 1999 French Camp Vineyards Syrah (Paso Robles),Syrah,Kunin
109456,US,"Lime and apple blossoms, gray slate, wet chalk, a touch of struck match and an ever-so-slight lemon-butter element converge on a wondrous nose in this Rajat Parr-Sashi Moorman winner. Once sipped, the tight citrus hits first, but then come approachable white flowers, golden pears and a touch of ghee and vanilla on the back end.",Mt. Carmel,95,55.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Sandhi 2013 Mt. Carmel Chardonnay (Sta. Rita Hills),Chardonnay,Sandhi
87063,South Africa,"There's a lot of earthy spice character to this wine, as assertive aromas of purple florals, whole cinnamon stick, nutmeg and clove are supported by a frame of small forest berries. Medium weight and round on the palate with a mulled boysenberry-flavored finish.",Estate,88,80.0,Tulbagh,,,Lauren Buzzeo,@laurbuzz,Rijk's 2007 Estate Syrah (Tulbagh),Syrah,Rijk's
