WELL,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,SP,ROP,DTS,DCAL,DRHO,LITHOFACIES
16/11-1 ST3,2279.825201,,,,ZECHSTEIN GP.,Smith Bank Fm.,12.90454197,177.272644,,,2.915403843,4.701290131,-0.011369412,,54.19736481,,24.43862724,,,0.001669203,86000
16/11-1 ST3,2647.513201,,,,ZECHSTEIN GP.,Smith Bank Fm.,12.39829159,,,,,10.24773502,,,68.13266754,,1.700299263,,,,88000
15/09/2015,548.64,436818.1563,6462991.5,-523.6383667,NORDLAND GP.,,17.76043892,1.276776075,1.276776075,1.367326379,1.912560463,62.7909317,,2.270531178,172.8152771,50.58989334,40.96688843,,0.26043728,0.008974134,65000
16/2-11 A,1249.2432,475354.3125,6518551.5,-1190.741943,HORDALAND GP.,Skade Fm.,12.47853375,,0.895600021,0.906000018,1.936166525,92.38169098,0.578944683,3.223890305,151.3336487,,23.76106453,,,-0.015307571,65000
16/2-11 A,1908.7712,475536.0625,6518967,-1667.905029,SHETLAND GP.,Hod Fm.,13.20838547,,1.576253891,1.632309675,2.31836009,14.86210537,0.237179622,6.641122818,81.85710907,,5.262661934,154.2453461,,0.013789744,70000
16/10/2001,1838.72779,444153,6435554.5,-1813.646118,HORDALAND GP.,Utsira Fm.,13.03131104,,0.832961678,0.917081893,2.149778843,92.16717529,0.45479849,6.579809666,132.8987732,96.06765747,12.74777126,,0.531310976,0.001052144,65000
16/11-1 ST3,2931.905201,,,,ZECHSTEIN GP.,Smith Bank Fm.,12.63242912,,,,,5.027882099,,,68.3655014,,9.210297585,,,,88000
15/09/2013,1493.928,437639.9063,6470978,-1468.86438,HORDALAND GP.,Utsira Fm.,14.36244965,,0.941552699,0.989882588,1.978953123,83.57829285,0.47294268,2.547736168,148.1665344,57.43756485,50.3183136,,,-0.001085369,65000
15/09/2013,1787.136,437633.7188,6470978.5,-1761.998413,HORDALAND GP.,Utsira Fm.,12.62071705,,0.738173246,0.649742842,1.936840534,72.46366882,0.52174139,4.864379406,149.5102997,59.29999924,33.48957825,,,0.085940562,65000
15/09/2017,2942.125998,438597.3438,6478968.5,-2919.917969,VESTLAND GP.,Smith Bank Fm.,8.632800102,,2.052869558,1.77065599,2.544839382,87.77864838,0.260916621,4.500298977,88.23297119,59.66555405,3.387427092,,,0.0069446,65000
15/09/2015,2870.44,436799.8125,6463018,-2845.012207,HEGRE GP.,Skagerrak Fm.,7.548654079,2.639843941,2.639843941,2.687699556,2.413734674,67.16195679,0.205518052,4.510179997,81.97457123,101.8712235,9.2724123,,-0.951345682,-0.035138011,65030
15/09/2015,2116.52,436807.9063,6463006,-2091.285156,HORDALAND GP.,Frigg Fm.,20.74410439,0.501698375,0.501698375,0.449269325,2.071815014,38.75346756,0.48512271,3.264826775,140.4389801,76.7257843,73.29522705,,8.494106293,0.126443267,65000
15/09/2013,2451.832,437617,6470981.5,-2426.442139,SHETLAND GP.,Tor Fm.,12.28456593,9.598254204,7.504447937,6.671024799,2.564518452,10.66508007,0.226515785,4.702644348,63.72706986,79.5971756,1.948935866,,,-0.004105272,70000
16/11-1 ST3,2839.489201,,,,ZECHSTEIN GP.,Smith Bank Fm.,12.30436897,,,,,3.518580198,,,68.19474793,,3.285463095,,,,88000
16/11-1 ST3,1264.769201,474568.2813,6436487.5,-1237.753174,HORDALAND GP.,,12.74227047,,0.875272036,0.676142633,,51.49837494,,,175.4994659,51.32989502,3.499594212,,,,65000
16/10/2001,702.5277898,444151.25,6435549.5,-677.4827881,NORDLAND GP.,,17.97898293,0.985535026,1.303554893,1.786594391,,100.6924973,,,144.879303,78.05400085,19.17849159,,0.478983253,,65000
16/10/2001,922.6237898,444150.9688,6435550,-897.5755615,NORDLAND GP.,,18.38711357,1.164920807,1.269324541,1.316054583,,111.115242,,,144.481247,77.28096008,24.75376701,,0.887114406,,65000
15/09/2013,1143.568,437640.8125,6470976,-1118.519165,HORDALAND GP.,Utsira Fm.,19.43172264,,0.975083709,1.051254392,1.79173398,48.98686981,0.463270903,1.382419944,147.1954804,41.9528389,499.7837219,,,0.022891175,65000
16/10/2001,1812.73579,444152.5938,6435554.5,-1787.657837,HORDALAND GP.,Utsira Fm.,13.87851238,,0.689561427,0.634784401,1.949359775,83.84893036,0.476723254,13.45737648,146.6605225,91.41937256,10.00939179,,1.378512621,-0.000713267,65000
15/09/2015,999.32,436814.3125,6462990.5,-974.2954102,NORDLAND GP.,Utsira Fm.,11.56789112,0.801887572,0.801887572,0.879310727,1.96875906,35.58757019,,2.848557472,145.5836639,54.61046219,27.05162239,,-5.932106495,0.045448192,30000
16/10/2001,2264.63179,444160.2188,6435557.5,-2239.477783,ROGALAND GP.,Vaale Fm.,12.86589146,,1.105719805,0.931771755,2.395129204,55.03924942,0.307798415,4.092224598,107.082222,89.78026581,9.556790352,,0.365891814,-0.020474717,65000
16/10/2003,1870.357599,460429.0313,6453747.5,-1830.246338,ROGALAND GP.,Balder Fm.,12.90796471,0.715216994,0.771882951,0.78501755,2.24753952,73.49127197,,3.96911931,126.9337692,89.57260132,43.90000153,,0.657968402,-0.021252325,99000
16/10/2001,2398.84779,444162,6435559.5,-2373.657227,SHETLAND GP.,Tor Fm.,12.5078001,,1.14843595,1.255822778,2.364174128,25.69745255,0.223293886,5.174043179,74.42457581,114.7763519,4.90241766,,0.007800102,-0.026345143,70000
16/10/2001,1744.48779,444152.0313,6435554,-1719.414795,HORDALAND GP.,Utsira Fm.,23.52423096,,1.052236319,1.830496669,1.933734894,40.78528595,0.40478611,25.25530052,122.2122269,101.242157,13.39259815,,11.02423,0.01053436,30000
16/10/2001,1023.55179,444151,6435550,-998.50354,NORDLAND GP.,,17.69667625,0.825094581,0.925573885,1.138040185,,117.7110596,,,153.5027924,80.491539,18.71344376,,0.196676463,,65000
16/11-1 ST3,2091.953201,,,,CROMER KNOLL GP.,Aasgard Fm.,14.14005375,0.419824362,,,2.394160748,44.89165878,0.273747921,,108.4056168,,13.70491886,,,0.132063523,80000
16/10/2003,2170.405599,460438.0625,6453743,-2130.108643,SHETLAND GP.,Tor Fm.,8.894892693,1.141737342,1.134733677,2.094729424,2.437340736,40.62813568,0.195024878,4.340381146,76.97341919,,7.630000591,146.0930481,0.394892812,0.026054373,70000
16/2-11 A,795.0671995,475278.9688,6518414.5,-771.0482788,NORDLAND GP.,,12.40836334,,1.345668316,1.353055477,2.19464612,120.4259872,0.490140915,4.466151714,139.3966827,,26.23250771,,,0.010513483,65000
15/09/2015,641.208,436818.0938,6462991,-616.2054443,NORDLAND GP.,,18.95150185,1.291885495,1.291885495,1.530270338,2.036467314,66.5281601,,2.426112413,184.9491425,44.82658005,27.43199921,,1.451500654,0.004212594,65000
15/09/2017,2390.669998,438597.0313,6478964.5,-2368.508301,ROGALAND GP.,Heimdal Fm.,11.99199963,2.002469778,6.374358654,9.608987808,2.169928789,30.26935196,0.209745437,4.144069195,97.67030335,22.8766346,3.133724213,,,-0.0088,30000
15/09/2013,824.216,437642.375,6470973.5,-799.1824951,NORDLAND GP.,,19.01436997,,1.426982284,1.535352111,2.157734394,81.31404877,,2.321221113,138.409668,35.48542786,34.92316055,,,0.013121082,65000
15/09/2017,1681.133998,438595.75,6478953.5,-1659.080078,HORDALAND GP.,Utsira Fm.,14.83955097,1.043675423,0.90368402,0.869355798,2.006900787,56.4070816,0.441261083,2.948800087,136.6328735,38.48805237,24.77630043,,,-0.000485832,65000
16/2-11 A,2070.6512,475572.9063,6519062.5,-1793.062988,CROMER KNOLL GP.,Roedby Fm.,12.57684135,,1.013065577,1.041793704,2.335362434,88.60086823,0.320007354,3.532599926,116.511322,,5.177767754,,,-0.006921814,80000
15/09/2015,1740.472,436812.0625,6462996,-1715.38916,HORDALAND GP.,Utsira Fm.,15.33255768,0.851623297,0.851623297,0.813218296,2.02854681,65.42623138,0.538856149,2.429031611,141.813324,69.06376648,44.21585465,,3.082560062,0.081891187,65000
16/10/2001,2193.64779,444159.25,6435556.5,-2168.504395,ROGALAND GP.,Lista Fm.,12.49154949,,0.660741687,0.532819748,2.279372931,67.62663269,0.359586358,3.557032824,129.5412445,84.25668335,12.95133877,,-0.008450627,0.002163993,65000
15/09/2017,798.1659984,438591.1875,6478951.5,-776.1471558,NORDLAND GP.,,18.62878227,,1.396407366,1.452966332,2.035179138,71.86710358,,2.326261043,148.897583,22.87879372,36.18658447,,,0.012689474,65000
15/09/2017,1495.693998,438594.125,6478952.5,-1473.654419,HORDALAND GP.,Utsira Fm.,13.86699963,0.730412006,0.976904512,0.982482672,1.977340221,68.28443909,0.496673495,3.556897402,144.3036346,34.58556366,28.81848717,,,0.01038042,65000
16/2-11 A,1623.467199,475454.4688,6518782,-1466.917603,ROGALAND GP.,Sele Fm.,12.58802223,,0.749642909,0.80281657,2.122279882,91.38156891,0.479080975,3.380616426,141.8126679,,39.32639313,,,-0.004939325,65000
16/11-1 ST3,2211.425201,,,,VESTLAND GP.,Sandnes Fm.,12.37124157,0.432586521,,,2.415110111,20.51708984,0.146730527,,78.4363327,,9.273745537,,,0.018777549,30000
16/02/2016,1116.406396,476768.1563,6523588.5,-1090.041748,HORDALAND GP.,Skade Fm.,12.50795078,,1.099114895,1.099647284,2.075000048,123.0947113,0.436421782,3.883875132,147.2721405,,58.14348602,,,0.005788977,65000
15/09/2015,1035.04,436813.7813,6462990.5,-1010.011475,NORDLAND GP.,Utsira Fm.,17.20247078,0.75047648,0.75047648,0.824503362,2.049150229,34.72140884,,2.949517727,150.4803162,54.65800476,56.44623184,,-0.297527343,0.01927799,30000
16/11-1 ST3,1951.201201,,,,SHETLAND GP.,Hod Fm.,13.28337765,1.369394064,,,2.463711739,5.612334251,0.122862339,,71.67922974,,14.98849392,,,-0.003669465,70032
16/10/2001,1930.23179,444154.5313,6435555,-1905.136108,HORDALAND GP.,Utsira Fm.,13.07137775,,0.716552198,0.678497791,2.03388381,81.86657715,0.409013957,12.13192844,132.1432037,93.26765442,12.23432446,,0.571377337,0.001447797,65000
16/2-11 A,1791.4272,475503.9688,6518890.5,-1585.118896,SHETLAND GP.,Ekofisk Fm.,12.95808411,,1.243488312,1.291871309,2.304237604,14.96176243,0.25531587,6.041363716,84.78629303,,8.30919838,159.53685,,0.000706424,70000
15/09/2015,1452.28,436813.2813,6462992,-1427.240967,HORDALAND GP.,Utsira Fm.,12.18748856,1.363958597,1.363958597,1.371586084,1.993234158,89.94768524,0.566722512,2.094354868,152.2201386,64.67863464,33.28067017,,-0.062511325,0.052021537,65000
15/09/2013,2243.288,437621.8125,6470981,-2217.956055,ROGALAND GP.,Balder Fm.,12.5642519,,0.840838015,0.781362653,2.274187326,41.01514053,0.433934957,3.514763832,112.1375427,70.98005676,18.37560082,,,-0.003849334,99000
16/2-11 A,1308.371199,475368.6563,6518582.5,-1239.180786,HORDALAND GP.,Skade Fm.,12.26974201,,1.152703404,1.165086389,2.094349146,100.9580689,0.45253396,3.005669355,133.0197754,,21.80903053,,,-0.017272308,65000
15/09/2013,1700.192,437635.9688,6470978,-1675.085327,HORDALAND GP.,Utsira Fm.,14.1171627,,0.796708405,0.785497308,2.003569364,53.59148026,0.456018031,2.571686029,144.8811951,57.96097183,38.60847855,,,-0.001637415,65000
16/02/2016,1000.278396,476768.125,6523588,-973.9136963,HORDALAND GP.,Utsira Fm.,12.57014942,,1.150610208,1.154969573,2.048253536,106.7016907,0.536510646,4.048942566,147.3991852,,25.98787308,,,0.006759671,65000
15/09/2013,2619.944,437614.25,6470982,-2594.530518,SHETLAND GP.,Hod Fm.,12.07165718,,2.529643536,2.363184691,2.493200779,47.40288544,0.195615694,4.554181099,74.05937195,101.5979309,3.640027046,,,-0.014983508,80000
16/02/2016,935.6783961,476768.1563,6523588,-909.3137817,NORDLAND GP.,Utsira Fm.,12.56922627,,1.110183239,1.109003186,2.008494139,98.15601349,0.442005813,3.406065464,145.6673584,,32.86654663,,,-0.0003603,65000
16/10/2001,1668.48779,444151.9688,6435553.5,-1643.419678,HORDALAND GP.,Utsira Fm.,13.79600048,,0.735689759,0.723102748,2.132281542,76.09790802,0.439356834,4.603133202,146.4405975,93.15237427,19.04815102,,1.296000361,-0.0184418,65000
15/09/2017,1361.933998,438593.9688,6478952,-1339.895752,HORDALAND GP.,Utsira Fm.,14.73573971,0.834042788,1.220095515,1.375508547,1.85199523,68.3250351,0.507120431,3.709688425,138.4841309,34.34679413,20.334795,,,0.007716782,65000
15/09/2015,626.92,436818.1563,6462991.5,-601.9176025,NORDLAND GP.,,17.99196243,0.958719492,0.958719492,0.985031664,1.985753059,80.86418915,,2.391923428,174.7030792,52.37896729,33.25087357,,0.49196443,0.006100385,65000
16/10/2003,2015.061599,460433.6563,6453745.5,-1974.855591,ROGALAND GP.,Vaale Fm.,13.16793156,0.697547555,0.698475957,0.838568866,2.328123093,72.32624054,,6.877782822,119.7885895,88.23945618,37.70000076,,0.91793102,0.02373418,65000
16/10/2001,2537.01579,444164.9688,6435563.5,-2511.74292,SHETLAND GP.,Hod Fm.,12.3125,,6.749820709,6.184639454,2.584091425,24.23774338,0.080301948,5.765695095,59.42623138,111.320282,2.459722042,,-0.1875,-0.030489722,70032
15/09/2013,2239.792,437621.8438,6470981,-2214.460449,ROGALAND GP.,Balder Fm.,12.39147186,,1.264608026,0.859653711,2.194520712,47.38710403,0.463367283,3.57062459,112.9681854,71.70321655,38.52744675,,,0.014801508,99000
16/10/2001,2677.91979,444169.2813,6435568.5,-2652.473633,SHETLAND GP.,Hod Fm.,8.570300102,,5.6345644,4.863734245,2.553789854,21.64429665,0.121671841,4.456757546,68.66701508,111.4069595,3.027774334,,0.070300102,-0.010031095,70032
16/10/2003,899.8375993,460419.9063,6453750.5,-859.807373,NORDLAND GP.,,22.55142021,0.712019742,0.70878154,1.108394146,,140.3439636,,,141.272049,511.5715332,16.10000038,,5.051419735,,65000
16/2-11 A,1489.555199,475416.3125,6518695,-1372.582764,HORDALAND GP.,Skade Fm.,12.5411644,,1.180371642,1.238681912,2.191101074,136.7074432,0.469803572,3.717459917,123.3700562,,32.97229004,,,-0.004010844,65000
16/10/2001,1392.60779,444152,6435550.5,-1367.55481,HORDALAND GP.,Utsira Fm.,15.41514874,,0.984180689,0.98309499,,123.384697,0.468493074,28.486866,15.99332047,76.96120453,21.1422596,,,-0.547269583,65000
15/09/2017,1571.845998,438594.5938,6478953,-1549.802124,HORDALAND GP.,Utsira Fm.,12.71406651,0.808385611,1.008447647,1.003825903,1.926233172,60.55217362,0.476347953,3.364036083,143.631546,38.0317688,12.12615395,,,0.003833275,65000
16/10/2003,839.7975993,460419.5625,6453750.5,-799.7689819,NORDLAND GP.,,19.0122776,0.821658194,0.820405483,1.240669131,,141.8557739,,,147.9925842,514.0748901,26.84000015,,1.512277722,,65000
16/10/2001,2667.73579,444168.9375,6435568.5,-2642.307617,SHETLAND GP.,Hod Fm.,8.570300102,,6.325577259,5.71710825,2.588309288,16.1234932,0.091249235,4.861197949,65.36914825,110.9293518,2.836972237,,0.070300102,-0.003532325,70032
15/09/2017,728.5499984,438591.3438,6478951.5,-706.5328979,NORDLAND GP.,,18.0330143,,1.382738829,1.551416874,2.07137847,75.88196564,,2.31408596,151.1551209,13.39437485,30.81274986,,,0.022557473,65000
16/01/2002,2681.300002,455221.3438,6533321.5,-2656.300049,VIKING GP.,Smith Bank Fm.,16.00505257,1.013894677,1.012750149,1.17961061,1.990883231,50.54978943,0.457402259,,93.1875,97.08985901,102.6642227,,,0.057325248,65000
16/11-1 ST3,1424.217201,474568.7813,6436488,-1397.199097,HORDALAND GP.,,13.22088623,,0.792395651,0.634667993,,35.84042358,,,150.6711121,51.25932694,7.672966957,,,,65000
16/10/2003,2531.861599,460447.0313,6453744,-2491.449219,VESTLAND GP.,Hugin Fm.,8.276345253,0.815014541,0.768578172,1.205922723,2.363960028,79.03398132,0.24322845,4.573534012,87.64511108,,32.25,167.2536316,-0.223654896,0.035527904,65030
16/02/2016,1844.790396,476768.25,6523588.5,-1818.425537,CROMER KNOLL GP.,Roedby Fm.,12.37831783,,0.788556457,0.789431751,,79.68511963,,,113.0302124,,12.40778446,262.3433838,,,80000
15/09/2017,3090.781998,438595.1563,6478967.5,-3068.551514,VESTLAND GP.,Smith Bank Fm.,6.059290886,3.289919138,2.838618755,2.547529936,2.560126066,101.2802811,0.265501589,3.633494854,88.53321075,97.97902679,4.626912117,,,0.005607046,65000
16/11-1 ST3,1243.033201,474568.2188,6436487.5,-1216.017456,HORDALAND GP.,,14.82193756,,0.879119575,0.749692619,,52.57328415,,,174.4410706,50.68180847,4.351378441,,,,65000
15/09/2015,1921.504,436810.75,6463001,-1896.356689,HORDALAND GP.,Utsira Fm.,16.16920471,0.807078362,0.807078362,0.79902941,2.068267584,73.50426483,0.556609869,3.463057756,156.704071,71.73139954,38.77025604,,3.919206858,0.079470344,65000
16/1-6 A,1216.107735,459499.1563,6539422.5,-1185.076782,HORDALAND GP.,Skade Fm.,8.640082359,,0.997463465,0.99278158,1.930865049,56.30065155,0.49248907,4.557352066,143.3819733,,7.057975292,,,,65000
16/1-6 A,1265.507735,459498.1563,6539424.5,-1234.401611,HORDALAND GP.,Skade Fm.,8.738836289,,1.095136643,1.116726637,2.108152151,59.64051437,0.438227981,3.762172222,136.6268005,,21.74575615,,,,65000
16/11-1 ST3,740.2172007,474566.6563,6436486,-713.2078247,NORDLAND GP.,,12.20239449,,1.258502603,1.096878171,,62.09378815,,,184.2218323,47.51070786,5.484728336,,,,65000
15/09/2013,2578.296,437614.8125,6470981.5,-2552.886475,SHETLAND GP.,Tor Fm.,12.26751328,,9.516991615,9.64684391,2.612392426,11.50804997,0.043970745,5.46491766,57.70817947,92.58340454,3.599398136,,,-0.0164217,70000
16/11-1 ST3,885.8332007,474567.125,6436486.5,-858.8219604,NORDLAND GP.,,12.15733528,,1.313677073,1.226884842,,58.2781105,,,180.043335,50.15257263,5.247102737,,,,65000
15/09/2017,1920.837998,438597.2188,6478956.5,-1898.75,HORDALAND GP.,Utsira Fm.,13.1170454,0.757638633,0.597014189,0.535846829,2.048461199,52.66781998,0.484113216,2.997575522,145.528244,38.40052033,22.37961578,,,-0.011605384,65000
16/02/2016,1152.126396,476768.1563,6523588.5,-1125.761597,HORDALAND GP.,Skade Fm.,13.01909828,,1.071316838,1.067127585,2.177428246,131.5,0.430663735,4.111442089,141.4606781,,27.16855812,,,0.007902798,65000
15/09/2017,1675.205998,438595.6875,6478953.5,-1653.15271,HORDALAND GP.,Utsira Fm.,14.60584068,1.220940113,0.897542894,0.92292583,2.044005394,63.07213974,0.472823858,2.848344088,135.2485046,35.9450531,23.45921135,,,0.002659766,65000
16/10/2001,1977.04779,444155.4375,6435555,-1951.942871,HORDALAND GP.,Utsira Fm.,12.39940357,,0.709739149,0.59603858,2.147009373,91.13679504,0.410936147,7.75056076,136.4798889,95.05774689,8.219497681,,-0.100596525,-0.000543469,65000
16/10/2001,2253.68779,444160.0625,6435557,-2228.5354,ROGALAND GP.,Vaale Fm.,12.90620041,,0.941716671,0.803764284,2.402415276,54.71731949,0.239646912,3.953551769,111.8784638,90.25971985,8.995125771,,0.406200409,-0.021353828,65000
16/02/2016,1549.606396,476768.25,6523588.5,-1523.241455,ROGALAND GP.,Sele Fm.,12.61027241,,0.459989965,0.454827011,2.086749554,112.6739121,0.468659908,4.53290081,142.1977539,,39.58731461,,,0.00108976,65000
15/09/2017,3079.837998,438595.375,6478967.5,-3057.609619,VESTLAND GP.,Smith Bank Fm.,6.003973484,2.800519466,3.108044386,5.551510334,2.571821213,109.1933289,0.273100853,4.017863751,88.21137238,94.98278809,4.067836285,,,0.053476356,65000
15/09/2013,2951.304,437607.5625,6470984,-2925.799805,VESTLAND GP.,Smith Bank Fm.,8.366200447,,2.142634869,2.084000111,2.533250094,108.3534164,0.317415237,4.419709683,88.35983276,128.4823456,5.646624088,,,0.013711559,65000
15/09/2013,2999.336,437606.5,6470984,-2973.819336,VESTLAND GP.,Smith Bank Fm.,9.556722641,,3.681063652,3.242772579,2.215793371,81.53135681,0.384590358,,89.38891602,126.6075287,5.270844936,,,0.083043292,65030
15/09/2017,1485.965998,438594.0938,6478952,-1463.926514,HORDALAND GP.,Utsira Fm.,15.41652107,0.799533606,1.08279407,1.118661046,1.920584798,61.08506012,0.498804241,4.120978832,153.8236542,34.81507492,21.82052422,,,0.021864565,65000
15/09/2017,2743.309998,438597,6478968.5,-2721.106689,VESTLAND GP.,Skagerrak Fm.,8.559337616,1.823080778,2.065607548,2.044890404,2.445858002,66.61283875,0.26201579,6.248553753,89.1276474,42.23400497,0.29380843,,,0.012817122,65000
15/09/2013,1135.208,437640.8438,6470976,-1110.159546,NORDLAND GP.,Utsira Fm.,18.53142166,,1.261501193,1.245798707,1.700847745,55.44527435,,1.494247198,151.1070862,48.25206375,61.76000214,,,0.02759897,65030
15/09/2015,1770.872,436811.9063,6462997,-1745.78186,HORDALAND GP.,Utsira Fm.,13.88070583,0.824162424,0.824162424,0.755975068,2.019516945,51.03057861,0.51315397,2.720284224,145.2126007,69.21355438,66.2808609,,1.630702734,0.147300631,65000
15/09/2013,1941.264,437629.5313,6470979.5,-1916.062988,HORDALAND GP.,Utsira Fm.,13.210289,,0.650052309,0.636332214,2.037934303,73.21291351,0.520223856,3.169055462,146.7902527,63.76750946,34.37492752,,,-0.000183872,65000
16/2-11 A,1561.7552,475436.75,6518742,-1423.459473,HORDALAND GP.,Skade Fm.,12.6824007,,1.042593122,1.146429658,2.132956028,114.0980072,0.503540576,4.874116421,136.1267548,,52.26644135,,,0.005048572,65000
16/02/2016,720.5983961,476768.1875,6523588.5,-694.2364502,NORDLAND GP.,,12.51013088,,1.243415237,1.2657125,2.097345114,122.001976,0.518841624,3.576657057,151.6146545,,21.69758415,,,-0.00525983,65000
16/10/2003,710.1415993,460419.3125,6453751.5,-670.1174927,NORDLAND GP.,,20.30513763,0.72665751,0.723115861,1.156929493,,132.263794,,,156.8656158,507.8826599,31.74000168,,2.805133581,,65000
15/09/2013,935.632,437641.6875,6470974.5,-910.5934448,NORDLAND GP.,Utsira Fm.,23.2656002,,0.750469863,0.820277154,1.680745602,32.94298935,,1.352479458,153.7601013,27.77012634,19.11922646,,,0.077643059,30000
15/09/2017,1011.117998,438592.2813,6478953,-989.0911865,NORDLAND GP.,Utsira Fm.,17.79966545,,0.683256269,0.864549279,1.935594916,43.80769348,,1.842069983,147.0752106,32.11893082,81.06452942,,,0.012356044,30000
15/09/2013,1167.584,437640.8438,6470976,-1142.534302,HORDALAND GP.,Utsira Fm.,14.59328461,,1.11916244,1.26860714,1.782801986,69.17712402,0.537224889,2.618929863,146.7474365,49.14125443,5.81887579,,,-0.011084192,65000
16/10/2005,2737.116387,448702.25,6429296,-2693.600342,CROMER KNOLL GP.,Tuxen Fm.,8.546158791,1.683903337,1.668514729,1.656021237,2.530932903,47.85439682,0.20905453,8.789500237,89.61048126,,51.51984787,,0.046158329,0.0297147,65000
15/09/2015,567.944,436818.1875,6462991.5,-542.9421997,NORDLAND GP.,,18.09766007,1.336265325,1.336265325,1.537766695,2.003216505,73.63917542,,2.374728203,168.5792389,51.19639969,40.49382401,,0.597659886,0.005733855,65000
16/2-11 A,1979.7552,475552.75,6519011.5,-1720.574097,SHETLAND GP.,Hod Fm.,12.59795666,,1.636402369,1.654650092,2.361842156,18.11783218,0.218652472,6.122264862,81.78231812,,5.654939651,155.500885,,0.016499175,70000
16/11-1 ST3,1381.961201,474568.6563,6436488,-1354.943604,HORDALAND GP.,,12.74089718,,0.860663235,0.637895703,,58.6256752,,,177.3335419,51.02368546,,,,,65000
16/10/2001,1299.43179,444151.8125,6435550,-1274.380859,HORDALAND GP.,Utsira Fm.,17.7031002,1.143167853,1.210671186,1.159800053,,95.5085907,,,143.9594421,73.71587372,15.94453907,,0.203100205,,65000
15/09/2017,1552.997998,438594.4063,6478952.5,-1530.955933,HORDALAND GP.,Utsira Fm.,13.42295551,0.726484239,0.843582511,0.785217762,1.949687362,70.53606415,0.476934999,2.752118826,158.1070404,35.26641846,18.12768555,,,-0.002516666,65000
16/10/2001,819.5677898,444150.7813,6435550,-794.5198975,NORDLAND GP.,,17.86760521,0.903552115,1.238461852,1.243306756,,120.7762146,,,148.2635803,77.13638306,20.01022911,,0.367606044,,65000
16/02/2016,814.9903961,476768.1875,6523588,-788.6257935,NORDLAND GP.,,12.50431252,,1.358531475,1.370436907,2.166689158,123.6548157,0.468770176,3.937932968,137.8732452,,26.09982681,,,0.009115777,65000
16/2-11 A,2201.9792,475602.7813,6519121.5,-1906.487305,VIKING GP.,Intra Draupne Fm. Sst.,8.361371994,,30.62443733,74.74151611,2.091446877,47.13097,0.236646697,3.053672314,105.9757156,,39.2284317,195.9055939,,-0.036453303,30000
16/11-1 ST3,1296.689201,474568.375,6436488,-1269.672729,HORDALAND GP.,,14.55565929,,0.981955707,0.79881078,,61.16465378,,,173.4445038,50.05175018,4.606239796,,,,65000
