Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2010-02-24 03:40:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.415448759562,37.778293520129
2012-06-28 21:15:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Thursday,TARAVAL,NONE,2100 Block of 12TH AV,-122.46852171617901,37.748534120912296
2014-04-03 08:55:00,OTHER OFFENSES,PROBATION VIOLATION,Thursday,MISSION,"ARREST, BOOKED",500 Block of 15TH ST,-122.406206824254,37.767225340757
2011-02-11 23:40:00,VANDALISM,"MALICIOUS MISCHIEF, STREET CARS/BUSES",Friday,RICHMOND,JUVENILE ADMONISHED,6100 Block of GEARY BL,-122.48527023653999,37.779940227166904
2012-07-28 07:00:00,NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION",Saturday,PARK,"ARREST, CITED",1700 Block of WALLER ST,-122.45251820177099,37.76828167183
2011-02-11 17:35:00,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,NONE,VANDYKE AV / 3RD ST,-122.392625489263,37.729280443217505
2005-09-10 10:50:00,ASSAULT,BATTERY,Saturday,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2011-06-18 00:05:00,NON-CRIMINAL,LOST PROPERTY,Saturday,CENTRAL,NONE,GEARY ST / MASON ST,-122.40987662253201,37.787148807979
2008-04-06 15:30:00,VEHICLE THEFT,STOLEN TRUCK,Sunday,RICHMOND,NONE,700 Block of 22ND AV,-122.48097544093599,37.7736350474003
2005-06-27 10:20:00,ASSAULT,THREATS AGAINST LIFE,Monday,TENDERLOIN,NONE,0 Block of MCALLISTER ST,-122.412596970637,37.7811192121542
2012-08-20 23:40:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,INGLESIDE,NONE,1800 Block of SUNNYDALE AV,-122.41714480239901,37.7121502932531
2004-07-07 10:30:00,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Wednesday,RICHMOND,UNFOUNDED,2300 Block of LYON ST,-122.446305510737,37.7923604360166
2011-05-05 13:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,MISSION,NONE,0 Block of JULIAN AV,-122.42120224952299,37.767395172273204
2009-01-20 09:35:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,INGLESIDE,NONE,200 Block of PRECITA AV,-122.415479005904,37.7473718419863
2004-01-10 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,RICHMOND,NONE,500 Block of 3RD AV,-122.46079342245301,37.77829288255621
2012-04-19 00:54:00,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,PARK,"ARREST, CITED",900 Block of HAIGHT ST,-122.437904238512,37.7712141777478
2014-05-04 12:10:00,ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,INGLESIDE,NONE,100 Block of BLYTHDALE AV,-122.420529801066,37.7110023300609
2005-12-17 18:30:00,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Saturday,SOUTHERN,NONE,1300 Block of MARKET ST,-122.416991089644,37.777074192255995
2004-10-01 22:39:00,ASSAULT,BATTERY,Friday,NORTHERN,NONE,1100 Block of VAN NESS AV,-122.421648984394,37.7861425696729
2011-11-19 01:00:00,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2009-03-04 21:48:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,MISSION,"ARREST, BOOKED",17TH ST / MISSION ST,-122.419515708406,37.7634292328496
2011-08-28 20:30:00,OTHER OFFENSES,PROBATION VIOLATION,Sunday,BAYVIEW,"ARREST, BOOKED",2800 Block of INGALLS ST,-122.39108756350599,37.721313867736704
2004-12-24 13:20:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239
2004-06-10 11:45:00,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Thursday,TARAVAL,NONE,1400 Block of 47TH AV,-122.506863242713,37.7594300421128
2013-08-09 12:52:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,MISSION,NONE,2600 Block of MISSION ST,-122.41860030588998,37.7546255872838
2012-07-29 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,TARAVAL,NONE,1700 Block of 45TH AV,-122.504327935912,37.753930215032
2010-07-14 10:58:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,SOUTHERN,"ARREST, CITED",MARKET ST / 10TH ST,-122.41750470314501,37.7765400380328
2013-05-31 18:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,TARAVAL,NONE,PLAZA ST / MAGELLAN AV,-122.460050195548,37.7486950074688
2003-03-08 04:24:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Saturday,INGLESIDE,"ARREST, BOOKED",CONGO ST / FLOOD AV,-122.44200928312401,37.7299106596063
2012-08-06 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, ADULT SUSPECT",Monday,PARK,PSYCHOPATHIC CASE,1600 Block of HAIGHT ST,-122.44910101170099,37.7696756290578
2010-01-17 23:30:00,NON-CRIMINAL,AIDED CASE,Sunday,RICHMOND,NONE,23RD AV / CLEMENT ST,-122.48273697562,37.7821195595198
2013-10-01 16:45:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,PARK,"ARREST, BOOKED",1800 Block of PAGE ST,-122.451236373142,37.770359801981705
2008-01-24 21:05:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,SOUTHERN,UNFOUNDED,5TH ST / MISSION ST,-122.406481972743,37.782731788488704
2004-10-26 00:14:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Tuesday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / LEAVENWORTH ST,-122.413869632561,37.781862188279206
2008-03-19 08:55:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,TARAVAL,"ARREST, BOOKED",1100 Block of TARAVAL ST,-122.478376945939,37.742876813051794
2010-09-06 22:24:00,SEX OFFENSES FORCIBLE,"ATTEMPTED RAPE, BODILY FORCE",Monday,TENDERLOIN,"ARREST, BOOKED",600 Block of ELLIS ST,-122.416893710739,37.7842860480389
2014-02-19 22:55:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,SOUTHERN,NONE,1100 Block of MISSION ST,-122.412834332129,37.7777903094246
2003-11-01 17:54:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Saturday,MISSION,"ARREST, BOOKED",500 Block of SOUTH VAN NESS AV,-122.41747701285,37.764357751686
2010-02-10 23:30:00,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,PARK,NONE,0 Block of CRESTLINE DR,-122.44648398817499,37.750130186330296
2005-12-15 12:00:00,ASSAULT,BATTERY,Thursday,BAYVIEW,NONE,3RD ST / EVANS AV,-122.387927387652,37.7427030847719
2004-12-21 13:30:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE,0 Block of RIZAL ST,-122.399269153785,37.7818400750116
2011-07-14 21:45:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,CENTRAL,"ARREST, BOOKED",700 Block of KEARNY ST,-122.40490444784099,37.7946478828923
2010-08-11 08:45:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,NORTHERN,NONE,400 Block of MARINA BL,-122.441146704191,37.806049885152795
2004-03-31 15:58:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TARAVAL,"ARREST, BOOKED",1500 Block of SLOAT BL,-122.489713969124,37.7339497680852
2009-03-04 17:32:00,NON-CRIMINAL,AIDED CASE,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2010-02-14 02:00:00,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,RICHMOND,"ARREST, CITED",2800 Block of TURK ST,-122.451998028803,37.7780501202623
2015-04-19 19:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,PINE ST / LARKIN ST,-122.418844748098,37.7898297669592
2013-09-19 23:45:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,CENTRAL,"ARREST, BOOKED",BEACH ST / STOCKTON ST,-122.410690675854,37.8078911906226
2014-08-06 14:15:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Wednesday,TARAVAL,NONE,0 Block of ROSEWOOD DR,-122.46017506961999,37.7339134263901
2014-07-13 21:30:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,SOUTHERN,NONE,600 Block of MINNA ST,-122.41108692371999,37.7781634278768
2008-09-20 00:01:00,BURGLARY,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",Saturday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2009-06-22 19:00:00,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Monday,CENTRAL,NONE,500 Block of SANSOME ST,-122.40160542858601,37.795074606879396
2006-01-26 20:34:00,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, CITED",SYCAMORE ST / SANCARLOS ST,-122.420215667112,37.7626651750105
2008-07-12 07:00:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Saturday,BAYVIEW,NONE,BAY SHORE BL / QUINT ST,-122.403023976747,37.7299040507398
2004-10-13 14:35:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Wednesday,INGLESIDE,"ARREST, BOOKED",100 Block of GARRISON AV,-122.41323759008002,37.7095067930494
2009-01-06 19:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE,FOLSOM ST / 8TH ST,-122.410065781604,37.7749906792593
2011-01-27 00:01:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE,0 Block of CARGO WY,-122.379951817281,37.7421034351605
2014-06-13 01:49:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,RICHMOND,"ARREST, BOOKED",PARKPRESIDIO BL / CABRILLO ST,-122.471905258437,37.7750025899797
2004-05-02 11:40:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE,1500 Block of GENEVA AV,-122.43082630188101,37.7124349004423
2009-08-05 13:00:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE,100 Block of JEFFERSON ST,-122.414988252591,37.8082613305439
2006-11-15 08:00:00,MISSING PERSON,FOUND PERSON,Wednesday,BAYVIEW,LOCATED,1000 Block of FITZGERALD AV,-122.388335559443,37.719284994140295
2005-06-28 19:36:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,NORTHERN,NONE,700 Block of LARKIN ST,-122.417785340586,37.784947495697295
2014-07-09 15:50:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION,"ARREST, CITED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2007-04-19 15:04:00,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Thursday,BAYVIEW,"ARREST, BOOKED",1700 Block of YOSEMITE AV,-122.394461517783,37.7285100562628
2008-03-09 14:00:00,MISSING PERSON,MISSING JUVENILE,Sunday,BAYVIEW,LOCATED,0 Block of BELL CT,-122.384940423588,37.734005130178105
2011-06-05 23:00:00,OTHER OFFENSES,HARASSING PHONE CALLS,Sunday,RICHMOND,NONE,4300 Block of CALIFORNIA ST,-122.46404858369199,37.7851164846517
2005-01-26 00:01:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE,GRANT AV / GREEN ST,-122.407398959607,37.7997037899962
2014-07-21 13:08:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Monday,SOUTHERN,NONE,1300 Block of FOLSOM ST,-122.41248627649,37.773001280588005
2010-09-10 16:00:00,MISSING PERSON,MISSING JUVENILE,Friday,INGLESIDE,NONE,600 Block of MONTEREY BL,-122.45002923477301,37.7316356895983
2010-10-20 13:30:00,NON-CRIMINAL,SHELTER,Wednesday,INGLESIDE,NONE,1000 Block of CAYUGA AV,-122.44000661153099,37.721804883554704
2010-06-03 15:00:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,INGLESIDE,"ARREST, BOOKED",1800 Block of DIAMOND ST,-122.435475525065,37.7428725837595
2003-07-26 12:01:00,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Saturday,CENTRAL,NONE,400 Block of GEARY ST,-122.410699657634,37.7869881885308
2004-08-06 04:30:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Friday,TARAVAL,NONE,100 Block of SPRINGFIELD DR,-122.487924254728,37.7315583122216
2006-01-25 13:25:00,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Wednesday,SOUTHERN,UNFOUNDED,400 Block of 7TH ST,-122.405187364125,37.7745529324018
2009-05-17 15:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,MISSION,NONE,500 Block of DOLORES ST,-122.426153349478,37.7606186794333
2003-10-31 21:15:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Friday,INGLESIDE,NONE,300 Block of WILDE AV,-122.403694587646,37.7168087091051
2004-10-02 14:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,RICHMOND,"ARREST, CITED",800 Block of UPPER GREAT HY,-122.51130882508,37.7721192809554
2014-01-22 12:00:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,SOUTHERN,NONE,1300 Block of HOWARD ST,-122.414217817669,37.774239170665005
2004-05-25 11:00:00,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,CENTRAL,NONE,200 Block of GRANT AV,-122.40536380892799,37.78909143163
2012-09-22 08:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,PARK,NONE,1300 Block of WILLARD ST,-122.454240538704,37.764771814294896
2009-02-06 19:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,SOUTHERN,NONE,0 Block of FREMONT ST,-122.397526111294,37.791049807993204
2003-01-07 15:43:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,MISSION,"ARREST, BOOKED",900 Block of SHOTWELL ST,-122.41531378820999,37.7532172678798
2009-11-11 23:00:00,SEX OFFENSES FORCIBLE,"FORCIBLE RAPE, ARMED WITH A SHARP INSTRUMENT",Wednesday,SOUTHERN,NONE,0 Block of 9TH ST,-122.41506488766599,37.7764354063246
2015-04-16 17:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Thursday,INGLESIDE,NONE,NAGLEE AV / CAYUGA AV,-122.44940460131001,37.714251726096
2007-05-15 12:00:00,ASSAULT,STALKING,Tuesday,RICHMOND,DISTRICT ATTORNEY REFUSES TO PROSECUTE,100 Block of 22ND AV,-122.481927950534,37.7849352975007
2006-12-27 11:55:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411071423064,37.7817511307229
2010-11-02 13:00:00,NON-CRIMINAL,LOST PROPERTY,Tuesday,MISSION,NONE,BRYANT ST / 24TH ST,-122.409131939489,37.752796998558395
2014-06-26 18:14:00,TRESPASS,TRESPASSING,Thursday,CENTRAL,"ARREST, BOOKED",300 Block of PINE ST,-122.40129635983601,37.792117591304795
2010-11-03 21:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,1700 Block of HARRISON ST,-122.41335418701799,37.7690748003847
2012-08-11 08:00:00,ASSAULT,THREATS AGAINST LIFE,Saturday,MISSION,NONE,1700 Block of HARRISON ST,-122.41335418701799,37.7690748003847
2005-08-12 21:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,SOUTHERN,NONE,100 Block of NEWMONTGOMERY ST,-122.400272577535,37.7871789681666
2005-03-09 09:30:00,NON-CRIMINAL,AIDED CASE,Wednesday,PARK,NONE,1000 Block of 14TH ST,-122.436076649741,37.7672446280514
2013-01-25 20:30:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Friday,PARK,NONE,1400 Block of PAGE ST,-122.444712962011,37.771302186583
2014-02-18 04:39:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,SOUTHERN,PSYCHOPATHIC CASE,0 Block of DORE ST,-122.413045971966,37.7738617771611
2013-03-20 14:00:00,LARCENY/THEFT,THEFT OF COMPUTERS OR CELL PHONES,Wednesday,CENTRAL,NONE,2600 Block of JONES ST,-122.41691595708001,37.805694248558
2012-01-12 20:00:00,SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Thursday,BAYVIEW,NONE,1500 Block of OAKDALE AV,-122.389390729131,37.7341211312767
2009-06-24 03:02:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,"ARREST, BOOKED",GUERRERO ST / 23RD ST,-122.42302852653499,37.7535681941214
2010-09-20 19:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,SOUTHERN,NONE,1100 Block of MARKET ST,-122.41371122073,37.7796660426062
2003-12-22 11:52:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,TENDERLOIN,"ARREST, CITED",300 Block of ELLIS ST,-122.41198764359501,37.7850226622786
2014-08-18 17:41:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,MISSION,PSYCHOPATHIC CASE,2200 Block of MISSION ST,-122.419350173229,37.76101609120561
2014-06-14 09:15:00,OTHER OFFENSES,ACTS AGAINST PUBLIC TRANSIT,Saturday,TENDERLOIN,NONE,MARKET ST / 8TH ST,-122.414743835382,37.778719262789004
2007-07-29 01:00:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",Sunday,CENTRAL,NONE,500 Block of BROADWAY ST,-122.40586321263201,37.7980228452184
2012-11-02 12:00:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Friday,SOUTHERN,"ARREST, BOOKED",0 Block of 5TH ST,-122.40738268650601,37.783371636824896
2010-07-30 23:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,TARAVAL,NONE,LINCOLN WY / 40TH AV,-122.499760311073,37.7644492354739
2013-06-15 09:14:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,MISSION,NONE,2300 Block of MARKET ST,-122.43403618214,37.7632941952462
2011-09-21 05:43:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Wednesday,TENDERLOIN,"ARREST, CITED",200 Block of POWELL ST,-122.40820165725401,37.7868849113107
2005-07-28 14:00:00,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Thursday,PARK,NONE,FELL ST / CLAYTON ST,-122.44914286174802,37.7725792727292
2010-11-18 10:00:00,SECONDARY CODES,DOMESTIC VIOLENCE,Thursday,BAYVIEW,NONE,1000 Block of FITZGERALD AV,-122.389347613957,37.71976330690779
2014-06-10 00:01:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Tuesday,PARK,NONE,1700 Block of OAK ST,-122.44814005907499,37.7717170013104
2012-10-19 19:50:00,NON-CRIMINAL,FOUND PROPERTY,Friday,CENTRAL,NONE,1500 Block of HYDE ST,-122.41813628789801,37.7950327696915
2008-12-13 15:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,SOUTHERN,NONE,800 Block of MARKET ST,-122.40652098714399,37.7850629421661
2004-04-13 13:00:00,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Tuesday,TARAVAL,NONE,600 Block of SANTIAGO ST,-122.47422548063601,37.7449324988005
2008-03-18 10:35:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE,TURK ST / LAGUNA ST,-122.427206305932,37.78111752563769
2006-02-21 17:15:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Tuesday,TENDERLOIN,"ARREST, BOOKED",100 Block of JONES ST,-122.412386379783,37.7825386747303
2003-02-19 21:46:00,NON-CRIMINAL,"AIDED CASE, INJURED PERSON",Wednesday,SOUTHERN,NONE,100 Block of DORE ST,-122.41194899550501,37.772986737425214
2010-10-04 16:00:00,MISSING PERSON,FOUND PERSON,Monday,PARK,LOCATED,500 Block of BELVEDERE ST,-122.44794579696101,37.7621967171759
2007-10-17 10:07:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,INGLESIDE,NONE,0 Block of LAIDLEY ST,-122.43144626949,37.7410546236011
2008-01-07 15:37:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,BAYVIEW,NONE,SAN BRUNO AV / SILVER AV,-122.405610268222,37.732438864982
2011-01-02 14:40:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,SOUTHERN,"ARREST, BOOKED",1100 Block of MARKET ST,-122.413564091744,37.779514030063
2011-09-08 23:20:00,NON-CRIMINAL,FOUND PROPERTY,Thursday,INGLESIDE,NONE,GUERRERO ST / 28TH ST,-122.422219852451,37.7455795808013
2014-10-19 00:54:00,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Sunday,CENTRAL,"ARREST, BOOKED",1100 Block of KEARNY ST,-122.40555107178,37.7981820777551
2005-01-10 13:50:00,VEHICLE THEFT,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,INGLESIDE,NONE,800 Block of DETROIT ST,-122.444259377346,37.7341923795009
2011-09-08 02:32:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,NORTHERN,"ARREST, BOOKED",1100 Block of EDDY ST,-122.42577891406,37.7823192392643
2003-01-12 14:00:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Sunday,TENDERLOIN,NONE,MASON ST / OFARRELL ST,-122.409686191845,37.7862042105067
2006-10-07 23:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,NORTHERN,UNFOUNDED,POST ST / FRANKLIN ST,-122.423217673913,37.7864017954155
2011-08-25 09:38:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,SOUTHERN,"ARREST, BOOKED",6TH ST / JESSIE ST,-122.40924767554701,37.7813987340892
2013-08-21 01:40:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,400 Block of DIVISADERO ST,-122.437631568454,37.7735923085037
2014-05-31 12:00:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Saturday,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685
2005-07-28 20:14:00,VEHICLE THEFT,TAMPERING WITH A VEHICLE,Thursday,CENTRAL,"ARREST, BOOKED",2200 Block of STOCKTON ST,-122.41033761357599,37.8065128768551
2006-12-14 18:00:00,BURGLARY,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY",Thursday,SOUTHERN,NONE,100 Block of 10TH ST,-122.414670783052,37.7742072167166
2003-06-12 03:07:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,SOUTHERN,NONE,BRADY ST / COLTON ST,-122.42040342001002,37.772872417426
2007-02-11 22:00:00,ASSAULT,BATTERY,Sunday,INGLESIDE,NONE,4700 Block of MISSION ST,-122.436749760121,37.7219915768943
2007-09-17 19:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,TENDERLOIN,NONE,400 Block of ELLIS ST,-122.413631253258,37.7848053746211
2008-03-23 12:00:00,OTHER OFFENSES,ACTS AGAINST PUBLIC TRANSIT,Sunday,SOUTHERN,UNFOUNDED,5TH ST / HARRISON ST,-122.401846367522,37.7790324136251
2004-08-05 22:40:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,NORTHERN,NONE,500 Block of VAN NESS AV,-122.42013210843001,37.7803430365381
2011-12-18 16:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,INGLESIDE,NONE,100 Block of CRESCENT AV,-122.42114384553301,37.7351591086088
2003-11-27 23:20:00,OTHER OFFENSES,ESCAPE FROM JAIL,Thursday,TENDERLOIN,"ARREST, BOOKED",100 Block of TAYLOR ST,-122.410928353347,37.7836778741124
2014-07-27 12:15:00,MISSING PERSON,MISSING JUVENILE,Sunday,MISSION,LOCATED,900 Block of POTRERO AV,-122.406604919508,37.7571580431915
2010-05-05 22:12:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,RICHMOND,"ARREST, CITED",GEARY BL / 21ST AV,-122.480452050119,37.7802790505664
